file,RUNINFO,IVOL,METHODNAME,1_C04:0_AREA,1_C06:0_AREA,1_C08:0_AREA,1_C10:0_AREA,1_C11:0_AREA,1_C12:0_AREA,1_C12:1_AREA,1_C13:0_AREA,1_C14:0_AREA,1_C14:1_AREA,1_C15:0_AREA,1_C15:1_AREA,1_C16:0_AREA,1_C16:1n-7_AREA,1_C16:1n-7t_AREA,1_C16:1n-9_AREA,1_C17:0_AREA,1_C17:1_AREA,1_C18:0_AREA,1_C18:1n-12_AREA,1_C18:1n-7_AREA,1_C18:1n-7t_AREA,1_C18:1n-9c_AREA,1_C18:1n-9t_AREA,1_C18:2n-6TT_AREA,1_C18:2n-6c_AREA,1_C18:2n-6t_AREA,1_C18:3n-3_AREA,1_C18:3n-6_AREA,1_C18:4n-3 SDA_AREA,1_C18:5n-3?_AREA,1_C19:0_AREA,1_C20:0_AREA,1_C20:1n-12_AREA,1_C20:1n-15_AREA,1_C20:1n-9_AREA,1_C20:2n-6_AREA,1_C20:3n-3_AREA,1_C20:3n-6_AREA,1_C20:4n-6_AREA,1_C20:5n-3_AREA,1_C21:0_AREA,1_C22:0_AREA,1_C22:1n-9_AREA,1_C22:2n-6_AREA,1_C22:3_AREA,1_C22:4n-6_AREA,1_C22:5n-3_AREA,1_C22:5n-6?_AREA,1_C22:6n-3_AREA,1_C23:0_AREA,1_C24:0_AREA,1_C24:1n-9_AREA,1_Diatom II_AREA,1_Diatom III_AREA,1_UNK I_AREA,1_UNK II_AREA,1_ant-15:0_AREA,1_iso-15:0_AREA,1_Total FA_G_AREA
C:\CompassCDS\Data\2019\12\03_reprocessed\2019-12-03 13_22_47_Hex.DATA,N.A.,0.5,2019-11-25 AKM,0,0,0.670775176,0,0,0,0,0,0,0,0,0,1.992947894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.48230498,0,0,0,0,0,0,46.52307139,0,0,0,0,0,0,0,0,0,0,4.672924413,0,0,0,0,0,0,0,0,0,0,209.2390583
C:\CompassCDS\Data\2019\12\03_reprocessed\2019-12-03 13_49_30_Hex.DATA,N.A.,0.5,2019-11-25 AKM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.367438614
C:\CompassCDS\Data\2019\12\03_reprocessed\2019-12-03 14_15_32_GLC37.DATA,N.A.,0.5,2019-11-25 AKM,285.3210762,434.1459767,490.6636531,497.9804791,501.7012643,503.5885549,0,507.6778451,517.0601635,466.8417915,517.4306705,468.8789184,1035.642021,472.4913998,0,0,512.5157992,476.8762216,508.9189892,0,0,0,475.6394969,505.9576902,5.256278989,463.976012,456.0046679,466.3416874,460.5810653,0,0,4.439394146,500.4787887,0,0,477.3282716,461.9955802,465.8265123,461.6449096,464.1354414,455.0725914,485.3815161,479.1997825,489.4655964,464.0693042,0,0,0,0,444.9570256,465.8124021,446.4242955,498.9458473,0,0,0,0,0,3.424286298,17832.26025
C:\CompassCDS\Data\2019\12\03_reprocessed\2019-12-03 14_41_34_GLC463.DATA,N.A.,0.5,2019-11-25 AKM,151.0285946,207.4146861,460.7628653,471.1408527,238.9026254,997.8979771,719.3419042,0,1310.504035,454.7637017,271.1074188,230.2572308,1071.096124,909.5127362,232.3956698,0,537.7284447,457.1103856,1068.296725,229.212679,231.7479514,254.038512,929.9292953,253.0763145,233.7782039,887.0764563,444.4168006,906.3046163,230.0044928,0,0,275.9568947,1103.903136,538.2128751,449.421925,528.5877891,449.502496,458.6612166,225.5164105,224.5253994,442.289614,3.835900041,560.8038934,1046.78458,233.1208179,462.9271556,222.3482743,436.5147486,0,434.1463878,0,553.3995045,270.673608,0,0,0,0,0,3.582720617,23856.33744
C:\CompassCDS\Data\2019\12\03_reprocessed\2019-12-03 15_07_37_GLC455.DATA,N.A.,0.5,2019-11-25 AKM,0,0,0,3.240387453,0,1.857043716,0,2.456726544,1247.480001,0,2.336076087,4.752534831,1246.757042,1193.25793,0,0,1208.871086,0,1198.500039,0,0,0,1213.401554,0,0,1198.741806,1.690391681,1191.176449,1191.21176,0,6.099422743,10.18630608,3.662726367,0,0,6.524704811,1178.642729,4.758798149,1193.512755,1188.367675,1172.655237,0,0,0,0,0,1196.941215,1168.329357,18.50183183,1155.286766,0,0,0,0,4.079887939,0,0,0,0,19978.29957
C:\CompassCDS\Data\2019\12\03_reprocessed\2019-12-03 15_33_45_SDA.DATA,N.A.,0.5,2019-11-25 AKM,0,0,0,0,0,0,0,0,2.791157878,0,0,0,8.82297615,3.743574688,0,0,8.836990197,0,8.004235485,0,0,0,3.888587986,0,0,0,0,0,0,599.2524569,0,0,0,0,0,0,0,2.237341182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,668.7123284
C:\CompassCDS\Data\2019\12\03_reprocessed\2019-12-03 15_59_50_J319-P33.DATA,N.A.,3,2019-11-25 AKM,6.764908798,0,3.407404356,0,0,3.055653636,5.212832836,0,17.97802996,0,3.734158031,0,69.41081066,13.12713493,0,3.622133703,5.153751659,0,67.85432041,0,5.945283033,0,16.86672158,4.846457655,0,8.177170896,0,4.087123675,0,7.73124532,0,2296.032851,8.220765382,0,0,0,0,0,0,0,12.09527456,14.46887838,5.870717779,3.19993643,0,0,0,0,8.456112936,12.7894028,0,2.313152487,0,0,0,0,0,2.696438711,2.374467846,2664.508155
C:\CompassCDS\Data\2019\12\03_reprocessed\2019-12-03 16_25_55_J319-P42.DATA,N.A.,3,2019-11-25 AKM,7.863022032,0,3.471313212,0,0,2.795604471,6.278301991,0,16.84178409,0,1.936235986,0,61.81639576,9.083034938,0,3.049013225,4.880482707,0,68.22657256,0,4.113961918,0,7.9607161,5.233351916,0,8.383973089,0,3.618847983,0,7.71972658,0,2645.530103,9.096934016,0,0,0,0,0,0,0,4.159610631,12.95591857,2.370680855,0,0,0,0,0,0,4.966575742,0,0,0,0,0,0,0,0,0,2919.291327
C:\CompassCDS\Data\2019\12\03_reprocessed\2019-12-03 16_52_29_J319-P44.DATA,N.A.,3,2019-11-25 AKM,7.049597429,0,2.859896416,0,0,3.260665377,5.1932897,0,17.1131609,0,2.127603483,0,66.23807352,8.938083165,0,3.064052302,5.354022912,0,72.7496174,0,3.868832176,0,6.971996632,4.71433231,0,8.265880952,0,0,0,4.46812385,0,2647.887769,8.889914029,0,0,0,0,0,0,0,3.337316373,14.00350996,2.548952226,0,0,0,0,0,0,1.840524477,0,2.607385773,0,0,0,0,0,2.053274115,2.690865219,2924.142768
C:\CompassCDS\Data\2019\12\03_reprocessed\2019-12-03 17_18_19_J319-P45.DATA,N.A.,3,2019-11-25 AKM,8.551345345,0,3.226758025,0,0,2.776160142,5.934786986,0,19.61571339,0,2.194711489,0,73.88860459,11.09969212,0,4.431810852,5.512878837,0,59.13804567,0,4.034404499,0,8.317343539,4.59870795,0,6.923209859,2.073658319,4.099893008,0,9.466945055,0,2875.36467,8.026970499,0,0,0,0,0,0,0,7.89205927,15.21910962,2.241604516,0,0,0,0,0,0,5.164773993,0,0,0,0,0,0,0,0,2.591231269,3168.654025
