file,RUNINFO,IVOL,METHODNAME,1_C04:0_AREA,1_C06:0_AREA,1_C08:0_AREA,1_C10:0_AREA,1_C11:0_AREA,1_C12:0_AREA,1_C12:1_AREA,1_C13:0_AREA,1_C14:0_AREA,1_C14:1_AREA,1_C15:0_AREA,1_C15:1_AREA,1_C16:0_AREA,1_C16:1n-7_AREA,1_C16:1n-7t_AREA,1_C16:1n-9_AREA,1_C17:0_AREA,1_C17:1_AREA,1_C18:0_AREA,1_C18:1n-12_AREA,1_C18:1n-7_AREA,1_C18:1n-7t_AREA,1_C18:1n-9c_AREA,1_C18:1n-9t_AREA,1_C18:2n-6c_AREA,1_C18:2n-6t_AREA,1_C18:3n-3_AREA,1_C18:3n-6_AREA,1_C18:4n-3 SDA_AREA,1_C18:5n-3?_AREA,1_C19:0_AREA,1_C20:0_AREA,1_C20:1n-12_AREA,1_C20:1n-15_AREA,1_C20:1n-9_AREA,1_C20:2n-6_AREA,1_C20:3n-3_AREA,1_C20:3n-6_AREA,1_C20:4n-6_AREA,1_C20:5n-3_AREA,1_C21:0_AREA,1_C22:0_AREA,1_C22:1n-9_AREA,1_C22:2n-6_AREA,1_C22:3_AREA,1_C22:4n-6_AREA,1_C22:5n-3_AREA,1_C22:5n-6?_AREA,1_C22:6n-3_AREA,1_C23:0_AREA,1_C24:0_AREA,1_C24:1n-9_AREA,1_Diatom II_AREA,1_Diatom III_AREA,1_UNK II_AREA,1_ant-15:0_AREA,1_iso-15:0_AREA,1_Total FA_G_AREA
C:\CompassCDS\Data\2020\02\19_reprocessed\2020-02-19 15_34_58_Hex.DATA,N.A.,0.5,2020-02-19 AKM,4.370090227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.38716465
C:\CompassCDS\Data\2020\02\19_reprocessed\2020-02-19 16_01_42_Hex.DATA,N.A.,1,2020-02-19 AKM,8.154752052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184.699231
C:\CompassCDS\Data\2020\02\19_reprocessed\2020-02-19 16_27_44_GLC37_new.DATA,N.A.,0.3,2020-02-19 AKM,178.0316118,286.6078039,342.7954986,349.1484529,351.1880906,350.1951235,0,349.8860938,351.9475146,322.5613647,348.8203385,319.9383457,699.3474786,322.4081267,0,0,342.5990628,320.7644684,338.6976756,0,0,0,320.1726817,336.3538131,313.2507929,306.6784486,314.6294752,311.8038575,0,0,3.42645171,331.290084,0,0,317.9361952,310.0770884,308.8495737,310.557396,311.4682716,291.4594658,319.7513103,315.6989577,321.2504399,309.6441674,0,0,0,0,298.4636061,307.0794728,310.3831995,330.5403818,0,0,0,0,0,12011.48482
C:\CompassCDS\Data\2020\02\19_reprocessed\2020-02-19 16_53_48_J319-P10.DATA,N.A.,2,2020-02-19 AKM,5.605100526,5.79241716,7.828416036,0,0,7.911633235,10.74132739,0,67.91934372,1.789538874,6.794918235,0,274.8245281,59.1795608,4.525804217,17.04914855,8.572239535,0,176.3529521,0,22.6905373,0,34.88642023,9.255844109,25.60146054,22.41701342,27.05425715,0,51.22685128,0,4003.762808,7.245640209,0,0,0,0,0,32.25844212,0,51.81324302,10.87983014,5.594022354,3.313372274,0,0,0,0,0,61.95156268,0,2.969726273,5.470263216,0,3.190360283,0,5.608078442,7.124233225,5162.547262
C:\CompassCDS\Data\2020\02\19_reprocessed\2020-02-19 17_19_51_J319-P11.DATA,N.A.,3,2020-02-19 AKM,5.469091542,0,7.265708841,0,0,9.958646768,12.63705897,0,96.91438167,2.309312623,9.933509794,0,628.1810779,83.99835705,6.255210376,24.09750832,18.33453733,0,525.2598994,0,32.62188525,0,55.54103006,10.98170654,36.81174109,30.43747883,36.73741679,0,73.57751449,0,5775.586897,11.30601186,2.217003518,0,2.080618405,0,0,45.36842953,0,73.40752615,14.78648087,7.648763607,3.969525689,0,0,0,0,0,86.10079243,0,4.659778223,6.307731801,0,3.375132845,0,7.965386671,9.656443602,7894.164054
C:\CompassCDS\Data\2020\02\19_reprocessed\2020-02-19 17_45_56_J319-P12.DATA,N.A.,3,2020-02-19 AKM,16.07575799,4.096360673,10.30153735,2.508491001,0,27.61366233,11.41212398,3.113188783,353.9730471,13.37621986,21.7860551,0,526.5549761,417.2720945,15.8142417,47.90587337,22.02980098,4.553614911,239.6022707,10.58979811,90.13422808,1.76106475,76.36865704,20.74762769,87.02053928,52.43231261,63.58426686,4.69159992,132.6833988,0,5383.131135,13.44034707,3.233893828,0,0,8.293321791,0,64.19865869,4.56099346,180.5366761,13.12106687,15.07833842,2.630934118,0,0,0,5.400538824,2.584891465,163.5932081,0,12.86303317,9.293196847,2.09876961,14.37309168,0,37.92551102,38.49438915,8633.819533
C:\CompassCDS\Data\2020\02\19_reprocessed\2020-02-19 18_12_02_J319-P13.DATA,N.A.,3,2020-02-19 AKM,5.585136239,0,5.859993368,0,0,20.75866124,4.452602887,2.6281005,185.5052705,5.428128316,14.00866801,0,346.855366,186.2873066,9.319694497,36.21042564,11.6885935,2.214423495,92.29151869,13.87689627,58.49592275,0,70.96461089,9.205505915,68.41715304,5.116953203,13.08561755,2.029016617,23.58058148,0,3979.098346,7.051074733,0,0,0,2.563568022,2.116302056,4.534839206,5.483552381,164.0330706,9.966600178,4.987905339,5.59972979,0,0,0,6.452119906,0,114.0924359,0,5.368505675,8.680175041,2.582169808,22.94052963,0,7.637565121,14.10076943,5874.534432
C:\CompassCDS\Data\2020\02\19_reprocessed\2020-02-19 18_38_08_J319-P14.DATA,N.A.,3,2020-02-19 AKM,3.034264321,10.70248766,5.412067379,0,0,38.44190981,2.328371782,0,268.4293682,0,15.98050559,0,462.7458477,258.438606,8.95378472,45.30455207,12.84682842,0,135.2662298,25.02945492,62.23820669,0,55.48844302,7.902703571,69.08891745,5.129118964,10.88264442,7.488922699,44.27369495,1.708981962,6994.806238,12.9414165,0,0,4.461711142,16.15830239,2.834034724,3.331648639,9.518572002,229.8552781,20.02365163,7.517257684,8.422242558,0,0,0,7.14888992,0,166.2522367,0,5.766987371,5.919022806,1.205621449,34.30414388,7.350691708,5.730987621,10.88769777,9555.305109
C:\CompassCDS\Data\2020\02\19_reprocessed\2020-02-19 19_04_14_J319-P15.DATA,N.A.,3,2020-02-19 AKM,9.449917529,3.574002824,8.532813232,4.641977158,2.101927479,84.46973931,3.334300537,4.338348517,992.9193595,10.68849018,57.30236533,0,1599.720626,1275.083827,11.62058829,181.3732772,18.72806376,0,186.0146788,138.8257839,172.0599486,0,323.7375917,18.16185351,339.5959131,14.39416753,56.50286056,20.94310477,271.1608656,62.32123864,4354.689522,16.37716074,4.613482457,0,0,22.31479537,47.79282662,31.88483607,21.6318253,966.7955441,15.89255091,18.87497719,11.56001409,0,0,0,19.20244027,9.800072715,353.5405572,10.090817,15.11838615,21.85407955,4.268059773,169.0372788,30.60716589,24.85198898,27.40264891,13393.15124
C:\CompassCDS\Data\2020\02\19_reprocessed\2020-02-19 19_30_20_J319-P16.DATA,N.A.,3,2020-02-19 AKM,14.41614702,3.913563671,8.992024374,2.117031887,0,12.94384167,8.392832094,1.88837577,330.3858256,11.49060517,20.62498505,0,406.5053601,298.1137647,7.350063362,26.50853911,18.88137325,0,135.7122741,0,53.05702382,0,57.85400224,14.79247383,62.01878073,20.93624862,42.505059,1.463678896,54.89914936,2.818495549,4986.656293,8.444710195,3.021507802,0,2.439891542,3.547685165,0,27.05362351,2.563489061,78.47854232,11.6249457,9.94778878,2.703850935,0,0,0,3.514276181,0,99.71774466,0,9.51221067,8.574855956,1.986334656,3.394433942,4.087695703,27.81038154,30.10862812,7237.994137
