file,RUNINFO,IVOL,METHODNAME,1_C04:0_AREA,1_C06:0_AREA,1_C08:0_AREA,1_C10:0_AREA,1_C11:0_AREA,1_C12:0_AREA,1_C13:0_AREA,1_C14:0_AREA,1_C14:1_AREA,1_C15:0_AREA,1_C15:1_AREA,1_C16:0_AREA,1_C16:1n-7_AREA,1_C16:1n-7t_AREA,1_C16:1n-9_AREA,1_C17:0_AREA,1_C17:1_AREA,1_C18:0_AREA,1_C18:1n-12_AREA,1_C18:1n-7_AREA,1_C18:1n-9c_AREA,1_C18:1n-9t_AREA,1_C18:2n-6TT_AREA,1_C18:2n-6c_AREA,1_C18:2n-6t_AREA,1_C18:3n-3_AREA,1_C18:3n-6_AREA,1_C18:4n-3 SDA_AREA,1_C18:5n-3?_AREA,1_C19:0_AREA,1_C20:0_AREA,1_C20:1n-12_AREA,1_C20:1n-15_AREA,1_C20:1n-9_AREA,1_C20:2n-6_AREA,1_C20:3n-3_AREA,1_C20:3n-6_AREA,1_C20:4n-6_AREA,1_C20:5n-3_AREA,1_C21:0_AREA,1_C22:0_AREA,1_C22:1n-9_AREA,1_C22:2n-6_AREA,1_C22:3_AREA,1_C22:4n-6_AREA,1_C22:5n-3_AREA,1_C22:5n-6?_AREA,1_C22:6n-3_AREA,1_C23:0_AREA,1_C24:0_AREA,1_C24:1n-9_AREA,1_Diatom II_AREA,1_Diatom III_AREA,1_UNK I_AREA,1_UNK II_AREA,1_ant-15:0_AREA,1_iso-15:0_AREA,1_Total FA_G_AREA
C:\CompassCDS\Data\2018\03\23_reprocessed\2018-03-23 11_34_22_glc37.DATA,N.A.,0.5,22min FAMEs AKM 2018-03-23,0,0,0,0,49.80165027,7.769149958,0,72.74124123,0,125.4971887,0,822.1003621,125.2171413,5.281264654,13.77851264,475.2172613,25.26450004,201.4834187,245.6320417,0,109.4095563,7.050632742,68.75556833,0,0,69.26201977,4.130408278,38.74084041,29.2224458,613.6990828,0,26.67036887,24.29741809,0,6.63200881,14.84387251,7.580227997,11.70254675,377.5634002,0,2.824661471,0,4.696994761,0,0,0,0,0,2.733301146,4.824346286,0,0,10.84223245,13.46148983,31.421978,2.434388265,4.125049008,4733.667265
C:\CompassCDS\Data\2018\03\23_reprocessed\2018-03-23 11_57_08_glc37.DATA,N.A.,0.5,22min FAMEs AKM 2018-03-23,319.954423,645.7615279,777.2031942,808.8144076,823.5298749,831.6799538,835.454828,840.2826219,776.104588,825.4667181,771.4391087,1696.08922,776.9638582,0,0,806.5720023,0,804.7029994,779.2764217,0,0,892.9490867,761.5101783,0,0,775.2801552,753.154421,0,0,746.1633586,967.437628,794.294056,0,0,759.1909372,757.6301056,757.4155512,762.4171077,745.4115821,777.1044011,772.5344864,771.0137832,775.0599195,0,4.423702818,0,0,732.3149861,755.3282618,724.9545086,785.2571768,51.74713523,0,0,0,0,3.810964908,30881.83521
C:\CompassCDS\Data\2018\03\23_reprocessed\2018-03-23 13_16_37_GLC55.DATA,N.A.,0.5,22min FAMEs AKM 2018-03-23,0,0,0,0,0,0,2.671558007,1316.597955,0,2.398367736,0,1299.296232,1235.956927,0,0,1259.808453,0,1241.525719,0,0,1228.364235,0,0,1225.925127,0,1215.704698,1214.726533,0,5.495969342,8.143894749,3.445290937,0,0,0,1197.494086,0,1207.857379,1201.241382,1188.08993,0,0,0,0,3.383108094,1193.687302,1172.994389,0,1168.199961,0,0,0,0,0,0,0,0,0,19618.34241
C:\CompassCDS\Data\2018\03\23_reprocessed\2018-03-23 13_42_40_GLC37.DATA,N.A.,0.5,22min FAMEs AKM 2018-03-23,323.359431,669.6598569,807.7058755,840.4634256,852.7195639,863.421875,865.4097999,873.0520917,808.5540553,868.1186515,807.4769788,1780.365281,816.2109306,0,0,850.2172166,823.1058555,850.2354684,0,0,826.3252103,840.2887532,0,804.7659036,790.6416638,808.838044,797.0610716,0,0,6.598932735,844.1852796,0,0,821.955286,802.5996787,800.5652029,804.2787274,806.7422333,788.1454847,823.1169103,817.9439226,817.7402368,806.6994802,2.075610857,0,0,0,774.0162834,799.6949213,766.6660693,832.1414507,0,0,0,0,0,3.23364335,30413.7047
C:\CompassCDS\Data\2018\03\23_reprocessed\2018-03-23 14_08_44_GLC37.DATA,N.A.,0.5,22min FAMEs AKM 2018-03-23,320.604706,669.8327602,808.7722776,843.8783576,854.657594,862.0016453,863.6315255,872.3765925,805.9538268,865.3300608,804.6982414,1776.438869,814.2843022,0,0,848.2711882,815.2966364,848.6877534,0,0,824.0821653,838.2487793,0,804.3210167,789.5473341,803.7508464,798.3719996,0,0,6.793590736,842.849399,0,0,819.0236305,802.0321945,797.9675302,801.3430844,804.9181427,787.0982563,820.6523386,815.8652261,811.5751234,805.0478083,0,0,0,0,772.9920992,796.385558,764.9902623,828.5074449,0,0,0,0,0,4.649957609,30345.27576
C:\CompassCDS\Data\2018\03\23_reprocessed\2018-03-24 02_18_45_GLC37MID.DATA,N.A.,0.5,22min FAMEs AKM 2018-03-23,291.6617924,780.4811662,983.3716641,1019.50933,1035.675113,1052.065253,1060.479667,1067.200308,986.8197076,1051.292192,979.8791396,2143.024681,985.5042861,0,0,1021.526795,981.2287672,1008.160507,0,0,982.4973929,998.0803935,0,958.1362625,944.5436016,959.6042216,950.1443064,0,0,11.98318744,1008.4579,0,0,975.9458108,961.9896488,957.0447343,960.9653553,964.8425072,942.7274186,984.2151506,977.8832473,976.3129219,965.4121561,0,0,0,1.579909827,926.7492489,956.1726115,919.1015658,999.0726308,0,0,0,0,0,3.702927227,36522.93531
C:\CompassCDS\Data\2018\03\23_reprocessed\2018-03-24 12_43_53_P15.DATA,N.A.,0.5,22min FAMEs AKM 2018-03-23,0,0,0,0,0,6.950266005,0,62.00949368,0,6.244861629,0,115.811781,61.24680252,0,8.568849684,3.258804529,0,67.0156199,0,17.72431263,57.55306829,0,0,26.82155094,0,7.083970115,0,9.39359224,10.88032441,718.1212118,4.865204967,0,0,7.660307917,0,0,2.666090982,3.800175088,35.15153331,0,0,3.050816177,0,0,0,0,0,32.23281475,0,0,0,0,6.364073798,0,0,3.986151629,4.226572954,1299.677082
C:\CompassCDS\Data\2018\03\23_reprocessed\2018-03-24 13_09_59_P16.DATA,N.A.,0.5,22min FAMEs AKM 2018-03-23,0,0,0,0,0,4.848578514,0,59.17217758,0,2.573980188,0,73.6985306,26.95409565,10.37180163,9.557900452,4.030163816,0,26.32686245,0,16.6049103,41.82254414,0,0,26.74907608,2.7617501,12.54994593,0,25.98848389,0,664.0433671,0,0,0,4.446923315,0,0,13.4165663,0,21.84638268,0,0,3.847982951,0,0,0,0,6.035568218,42.06052209,0,0,0,0,0,0,2.076395444,4.044065753,2.18961301,1126.767193
C:\CompassCDS\Data\2018\03\23_reprocessed\2018-03-24 13_36_05_P17.DATA,N.A.,0.5,22min FAMEs AKM 2018-03-23,0,0,0,0,0,2.50073257,0,34.09064399,0,2.534281432,0,81.93705986,27.61982252,3.16809801,6.496442986,4.25299928,0,54.9496258,0,9.49453574,22.78532051,0,0,29.68920961,6.034639879,9.861334487,0,18.77891602,0,761.1731026,3.053130154,0,0,0,0,0,11.768275,0,12.97055257,0,0,0,0,0,0,0,0,14.37480798,0,0,0,0,0,0,0,2.869283489,2.723560518,1123.126375
C:\CompassCDS\Data\2018\03\23_reprocessed\2018-03-24 14_02_12_P18.DATA,N.A.,0.5,22min FAMEs AKM 2018-03-23,0,0,0,0,0,3.127519298,0,29.79359275,0,2.931897933,0,54.11046465,18.62137178,0,3.858619244,3.616276969,0,15.70987827,0,8.922100712,20.7806596,0,0,11.37356335,0,3.015206685,0,6.056599273,0,644.6733218,2.216670542,0,0,0,0,0,2.554595182,0,20.47512331,0,0,3.533757861,0,0,0,0,0,29.47741263,0,0,0,0,1.828689073,0,0,2.339772514,2.961503733,900.7972651
