file,RUNINFO,IVOL,METHODNAME,1_C04:0_AREA,1_C06:0_AREA,1_C08:0_AREA,1_C10:0_AREA,1_C11:0_AREA,1_C12:0_AREA,1_C12:1_AREA,1_C13:0_AREA,1_C14:0_AREA,1_C14:1_AREA,1_C15:0_AREA,1_C15:1_AREA,1_C16:0_AREA,1_C16:1n-7_AREA,1_C16:1n-7t_AREA,1_C16:1n-9_AREA,1_C17:0_AREA,1_C17:1_AREA,1_C18:0_AREA,1_C18:1n-12_AREA,1_C18:1n-7_AREA,1_C18:1n-7t_AREA,1_C18:1n-9c_AREA,1_C18:1n-9t_AREA,1_C18:2n-6TT_AREA,1_C18:2n-6c_AREA,1_C18:2n-6t_AREA,1_C18:3n-3_AREA,1_C18:3n-6_AREA,1_C18:4n-3 SDA_AREA,1_C18:5n-3?_AREA,1_C19:0_AREA,1_C20:0_AREA,1_C20:1n-12_AREA,1_C20:1n-15_AREA,1_C20:1n-9_AREA,1_C20:2n-6_AREA,1_C20:3n-3_AREA,1_C20:3n-6_AREA,1_C20:4n-6_AREA,1_C20:5n-3_AREA,1_C21:0_AREA,1_C22:0_AREA,1_C22:1n-9_AREA,1_C22:2n-6_AREA,1_C22:3_AREA,1_C22:4n-6_AREA,1_C22:5n-3_AREA,1_C22:5n-6?_AREA,1_C22:6n-3_AREA,1_C23:0_AREA,1_C24:0_AREA,1_C24:1n-9_AREA,1_Diatom II_AREA,1_Diatom III_AREA,1_UNK I_AREA,1_UNK II_AREA,1_ant-15:0_AREA,1_iso-15:0_AREA,1_Total FA_G_AREA
C:\CompassCDS\Data\2020\02\18_reprocessed\2020-02-18 13_31_53_Hex.DATA,N.A.,0.5,2020-02-21 AKM,0,0,21.90399034,74.80665442,4.563439267,15.58740594,16.60785176,0,3.195646437,3.72342143,6.916003173,2.244488323,0,3.277462799,1.226571823,10.83105384,1.149887065,2.490528291,2.253362658,0,0,22.62065486,1.54742162,4.109074957,5.138849344,4.616032374,4.798995433,2.237394531,1.29671254,0,2.724496134,3.137583928,0,2.094607937,1.234000512,7.475777053,0,2.168765925,0,0,0,2.884844085,0,7.193342017,0,1.028892236,3.949106463,0,0,0,6.501160577,0,2.743251365,3.077441909,0,0,5.105688108,0.730592521,2.313965376,787171.7369
C:\CompassCDS\Data\2020\02\18_reprocessed\2020-02-18 13_58_36_Hex.DATA,N.A.,0.5,2020-02-21 AKM,5.33759909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107.3626904
C:\CompassCDS\Data\2020\02\18_reprocessed\2020-02-18 14_24_38_GLC455.DATA,N.A.,0.5,2020-02-21 AKM,3.300465552,21.22281777,17.73111498,43.63609395,2.455345045,47.64725671,0,6.404589823,2382.88693,7.103795958,3.320501723,0,2353.251777,1909.664132,1.977243067,3.984144416,2252.605031,0.915120578,2230.948394,0,0,10.37048524,2069.969743,6.566562794,4.696721537,1967.652941,2.496560403,1969.271234,1910.240883,10.64719613,10.8841038,19.85394477,3.801544292,0,19.76204756,7.402496155,1994.349599,1.945268197,1980.215005,1943.981495,1890.677779,30.07398167,2.266661676,0,22.35895414,0,1986.616006,1966.814438,0,1879.474021,14.83987977,0,0,0,0,0,10.26836593,9.667188251,17.7396445,35991.85434
C:\CompassCDS\Data\2020\02\18_reprocessed\2020-02-18 14_50_40_GLC37.DATA,N.A.,0.5,2020-02-21 AKM,72.65198635,311.0331323,473.537434,563.5789438,612.8841403,734.9709803,0,884.6087343,1074.185781,563.5188013,1117.921361,576.972117,2311.747933,586.9835918,0,0,1139.468357,598.73649,1137.442059,0,0,0,611.0516955,1082.164718,0,574.0305802,585.9714607,569.1042225,563.1709519,0,0,10.60116462,1143.867866,0,1.700507081,758.2009351,595.017405,580.6229225,573.8139336,572.2754181,1610.252988,1130.709093,1131.146607,1048.174521,698.7763934,0,1.596982685,0,0,539.3880554,1105.89748,0,1138.948757,0,0,0,0,0,4.770328931,30091.27541
C:\CompassCDS\Data\2020\02\18_reprocessed\2020-02-18 15_16_43_GLC463.DATA,N.A.,0.5,2020-02-21 AKM,126.7080972,199.8827108,472.6728987,496.0989836,253.1481874,1049.945702,0,253.8740743,1405.117539,495.6966807,291.7542635,249.9579406,1166.409113,992.9329162,253.3743595,0,584.5384303,498.6341345,1161.409824,243.1687249,253.3894897,261.1972781,1012.826703,259.3845537,247.8508372,960.9646283,484.0273563,974.4476235,250.5285739,0,0,297.4913533,1174.739167,577.6219536,469.5821387,525.3310613,491.1249225,488.5812377,245.3038855,252.0518583,1064.372459,4.161401,597.1081227,1048.473832,250.6013425,488.366723,241.1207232,469.1049583,0,469.3331637,0,0,284.255527,0,0,0,0,0,3.82807197,25496.6488
C:\CompassCDS\Data\2020\02\18_reprocessed\2020-02-18 15_42_46_GLC37_new.DATA,N.A.,0.3,2020-02-21 AKM,217.9828865,322.0269168,360.8154722,360.5727623,363.693698,363.5149713,0,362.132926,365.3943287,334.3647044,361.9241432,331.0968279,726.0418524,334.7331548,0,0,355.8019627,333.1276534,352.827444,0,0,0,331.3653154,348.0604916,0,324.4657783,317.1885937,324.4526988,322.1833013,0,0,4.36426975,340.2051303,0,0,325.7315195,318.3601813,319.5353991,321.2152874,325.6847666,305.9723735,325.623457,321.0819846,333.289577,332.8806666,0,0,0,0,306.6648404,312.3960632,309.7125171,339.3963912,0,0,0,0,0,2.065726463,12473.0368
C:\CompassCDS\Data\2020\02\18_reprocessed\2020-02-18 16_08_49_GLC566.DATA,N.A.,0.4,2020-02-21 AKM,0,0,396.6164792,794.0405465,1222.331542,1761.565591,0,450.5356995,2715.49912,390.906486,1391.214367,0,2377.895775,406.76956,0,1.463848592,936.0312237,406.7740813,1412.454897,0,821.3978461,0,2023.73987,0,0,1571.867978,2.135497821,400.1516638,1182.612931,2.388677482,0,941.9405499,1883.100553,0,3.471703718,415.4789157,1177.230936,403.2113325,794.2226355,1962.102292,1604.024951,6.686026071,501.662193,1816.732972,823.079397,315.2195116,1553.783489,793.0444436,1154.805172,1889.256772,1433.578342,0,0,0,0,1.662817314,5.923575501,0,0,42553.51221
C:\CompassCDS\Data\2020\02\18_reprocessed\2020-02-18 16_36_13_SDA.DATA,N.A.,0.3,2020-02-21 AKM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.0019568
C:\CompassCDS\Data\2020\02\18_reprocessed\2020-02-18 17_02_55_J319-P01.DATA,N.A.,2,2020-02-21 AKM,8.01010636,5.667634075,9.171847519,2.325655751,0,17.40418418,0,9.976246958,105.5619051,0,9.240753859,0,206.2058558,62.98656447,1.415060518,17.85017614,12.28000193,0,131.5665073,0,31.78891939,0,50.28438963,13.94910375,1.622305131,49.50044489,6.561551433,23.64125684,0,42.42812284,0,4406.150227,9.595605127,0,0,0,10.23887722,0,0,4.167052298,64.57149226,11.62108034,5.945722562,5.337408087,0,0,0,0,0,60.67706549,0,5.802800017,3.568613469,2.248985174,8.451708696,0,0,8.762951956,11.61059318,5674.770418
C:\CompassCDS\Data\2020\02\18_reprocessed\2020-02-18 17_28_59_J319-P02.DATA,N.A.,2,2020-02-21 AKM,9.362611327,5.093856811,6.73172546,0,0,7.786838947,0,8.161514435,87.34841758,0,4.437367061,0,117.6835384,30.69282119,8.192262978,4.203754291,4.349771224,0,38.16549591,0,18.44694516,0,49.73388868,5.190925285,0,35.10652601,2.026684773,14.17944971,0,99.09185904,0,1748.716081,3.582656921,0,0,0,0,0,0,3.410394387,42.86259199,4.064308987,0,0,0,0,0,0.948308536,171.3103333,86.35016055,0,0,0,0,0,0,0,3.069700027,7.898239738,3162.528363
C:\CompassCDS\Data\2020\02\18_reprocessed\2020-02-18 17_55_02_SDA_r.DATA,N.A.,0.5,2020-02-21 AKM,0,0,0,0,0,0,0,0,2.952581168,0,0,0,9.037502853,3.667646723,0,0,8.959727785,0,9.381120444,0,0,0,4.189685292,0,0,0,0,0,0,649.2454823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,714.0264309
C:\CompassCDS\Data\2020\02\18_reprocessed\2020-02-18 18_21_05_J319-P04.DATA,N.A.,3,2020-02-21 AKM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\CompassCDS\Data\2020\02\18_reprocessed\2020-02-18 18_38_23_J319-P04.DATA,N.A.,2,2020-02-21 AKM,5.936533689,0,6.542950253,0,0,7.15457185,0,9.571223009,44.82907438,0,6.55745152,0,139.1891051,43.90999071,3.024109459,7.297374564,13.52071436,1.433873632,64.38919266,0,22.85693473,0,29.65889784,6.747290184,0,38.49226594,4.605163121,17.10140876,0,30.14550987,0,2916.211507,5.055072348,0,0,0,0,0,0,3.388041981,42.927909,7.212834548,6.507400213,0,0,0,0,0,0,36.77854203,0,2.353080557,2.752329446,0,0,0,0,6.990333206,9.981109921,3624.561024
C:\CompassCDS\Data\2020\02\18_reprocessed\2020-02-18 19_03_45_J319-P05.DATA,N.A.,3,2020-02-21 AKM,15.08444918,3.104909296,10.23338755,2.157842306,0,13.50359362,0,15.99092892,96.7662821,0,11.63922187,0,287.2371986,79.91545973,3.678537261,13.85283683,18.80369987,3.658015173,84.60700089,0,42.26042996,0,188.5495636,10.48106442,3.765157674,110.5790127,0,18.73409754,0,14.19668234,7.701714283,7434.627428,9.890898025,0,0,0,7.591157014,0,0,7.008560429,96.90146431,18.31461936,6.381371755,3.287064998,0,0,0,2.162196866,0,80.53009082,2.837696641,4.865750937,3.689527501,2.125410196,8.39893565,0,0,10.20733856,13.81090912,9044.470334
C:\CompassCDS\Data\2020\02\18_reprocessed\2020-02-18 19_30_06_J319-P06.DATA,N.A.,3,2020-02-21 AKM,6.124455039,2.746275701,10.16946203,2.120670556,0,16.42610851,0,15.83716832,124.6075368,0,13.40802971,0,428.3556894,113.206537,4.641507628,18.61776543,19.77606977,4.062090639,137.0713516,0,54.46329135,0,247.1840685,11.23115953,2.979295969,154.3123026,0,24.84151853,0,21.86855369,8.659353229,7424.404472,11.00550429,4.134694948,0,4.130626371,2.315497547,0,0,6.672894665,133.5823754,18.72628647,8.640637681,4.209709978,0,0,0,6.834282348,0,97.02709946,0,7.347182287,7.034434593,3.137817774,12.96384283,0,0,11.36064755,15.3922766,9564.154257
C:\CompassCDS\Data\2020\02\18_reprocessed\2020-02-18 19_56_13_J319-P07.DATA,N.A.,3,2020-02-21 AKM,6.671329188,11.68456587,9.363316905,2.028777373,0,41.95649425,0,8.225750117,278.2478127,12.46695877,16.94913777,0,522.004606,261.7695092,3.188145157,64.2380656,15.90095651,3.06599929,172.6638428,21.25124173,66.34462863,0,93.56567869,9.064934635,2.374204971,116.4640753,4.686608387,14.5719963,5.671097916,36.78205608,0,6470.633744,16.90810487,0,0,2.790914443,10.10592016,2.194102803,0,9.541905421,212.856563,15.88745318,7.391031588,8.527519581,0,0,0,8.483566914,4.626392021,140.2459627,0,8.369625011,12.20998843,1.620754556,31.26644604,0,0,7.892901532,14.71135723,9441.785976
C:\CompassCDS\Data\2020\02\18_reprocessed\2020-02-18 20_22_19_J319-P08.DATA,N.A.,3,2020-02-21 AKM,9.992453757,3.763401078,8.834743757,1.840618497,0,39.07667211,0,7.219742776,253.2930065,11.83549278,18.54365582,0,443.3124328,255.8345883,4.192408931,58.57651081,13.28163369,3.757810972,142.5914063,0,61.58809149,0,66.26215068,11.666315,2.821515428,111.143768,6.456757863,16.7584544,5.690801491,30.58814571,0,4970.96625,18.61239347,0,0,0,12.2864235,3.092117149,0,12.32189534,193.1822723,19.77089472,12.19505407,7.97852854,0,0,0,7.232208367,5.100654786,117.7190235,7.982316889,11.83976179,8.17723087,9.949083504,29.17533731,0,0,7.587171201,14.46694063,7618.207438
C:\CompassCDS\Data\2020\02\18_reprocessed\2020-02-18 20_48_24_J319-P09.DATA,N.A.,3,2020-02-21 AKM,3.934273181,6.273509243,8.302184595,2.095099547,0,7.702924322,0,13.10946314,55.3480291,0,8.723460698,0,175.4619814,61.89390803,3.615604327,11.02465546,17.3036952,2.021111831,82.98264462,0,33.13185467,0,39.59304242,8.217811258,0,54.70778841,6.08831893,22.23739949,0,39.26854772,0,4464.870261,6.706961662,0,0,0,9.796644873,0,0,3.288248066,56.46805907,10.956931,10.06119328,2.614544223,0,0,0,0,0,51.66233776,0,4.317312623,4.593740897,0,0,0,0,8.844120171,12.83350436,5480.67263
