file,RUNINFO,IVOL,METHODNAME,1_C04:0_AREA,1_C06:0_AREA,1_C08:0_AREA,1_C10:0_AREA,1_C11:0_AREA,1_C12:0_AREA,1_C12:1_AREA,1_C13:0_AREA,1_C14:0_AREA,1_C14:1_AREA,1_C15:0_AREA,1_C15:1_AREA,1_C16:0_AREA,1_C16:1n-7_AREA,1_C16:1n-7t_AREA,1_C16:1n-9_AREA,1_C17:0_AREA,1_C17:1_AREA,1_C18:0_AREA,1_C18:1n-12_AREA,1_C18:1n-7_AREA,1_C18:1n-7t_AREA,1_C18:1n-9c_AREA,1_C18:1n-9t_AREA,1_C18:2n-6TT_AREA,1_C18:2n-6c_AREA,1_C18:2n-6t_AREA,1_C18:3n-3_AREA,1_C18:3n-6_AREA,1_C18:4n-3 SDA_AREA,1_C18:5n-3?_AREA,1_C19:0_AREA,1_C20:0_AREA,1_C20:1n-12_AREA,1_C20:1n-15_AREA,1_C20:1n-9_AREA,1_C20:2n-6_AREA,1_C20:3n-3_AREA,1_C20:3n-6_AREA,1_C20:4n-6_AREA,1_C20:5n-3_AREA,1_C21:0_AREA,1_C22:0_AREA,1_C22:1n-9_AREA,1_C22:2n-6_AREA,1_C22:4n-6_AREA,1_C22:5n-3_AREA,1_C22:5n-6?_AREA,1_C22:6n-3_AREA,1_C23:0_AREA,1_C24:0_AREA,1_C24:1n-9_AREA,1_Diatom II_AREA,1_Diatom III_AREA,1_UNK I_AREA,1_UNK II_AREA,1_ant-15:0_AREA,1_iso-15:0_AREA,1_Total FA_G_AREA
C:\CompassCDS\Data\2018\06\11_reprocessed\2018-06-11 11_23_02_GLC455.DATA,N.A.,0.5,22min FAMEs AKM 2018-06-11,3.099107143,0,0,0,9.669460251,0,0,1.86757693,1161.77398,0,1.470186655,0,1201.59598,1090.560201,3.597029046,0,1137.858068,0,1144.688968,0,7.320976128,0,1125.92302,0,6.530876367,1083.481416,0,1071.73486,1069.23093,33.1462617,13.05105989,15.09622171,2.197661976,0,0,0,1050.600687,0,1053.937376,1057.993883,1046.346918,0,3.967595753,0,0,1051.690661,1029.792245,28.94836715,1005.000125,3.313580193,0,0,0,0,0,0,0,0,18008.88979
C:\CompassCDS\Data\2018\06\11_reprocessed\2018-06-11 11_49_43_GLC455.DATA,N.A.,0.5,22min FAMEs AKM 2018-06-11,2.167722557,0,0,0,0,0,0,2.822256884,1258.946128,0,2.088160864,0,1249.285107,1173.672026,0,0,1201.555542,0,1172.238668,0,0,0,1155.356305,0,2.699602115,1154.094921,0,1142.856317,1141.190319,0,4.844017441,7.516300462,3.547193837,0,0,0,1109.382175,0,1119.396781,1114.547988,1131.686895,0,0,0,0,1083.493549,1074.808146,0,1058.583606,0,0,0,0,0,0,0,0,0,18410.8961
C:\CompassCDS\Data\2018\06\11_reprocessed\2018-06-11 12_15_43_GLC37.DATA,N.A.,0.5,22min FAMEs AKM 2018-06-11,275.8352496,419.1686856,485.8568746,506.634382,511.7875882,511.9959749,0,513.7868163,522.5441228,483.4998369,520.7835918,481.0793416,1054.676941,482.9650158,0,0,500.3298138,479.0157625,493.9778825,0,0,0,472.4122137,484.8313135,5.533480106,462.7235231,453.5678011,462.881023,460.350237,0,0,4.15412374,491.6872887,0,0,459.530974,451.1657962,447.7827645,450.8915128,454.0748104,444.8755406,487.1020155,492.564397,461.3029503,441.8749158,0,0,0,424.0929926,486.4188028,473.620928,461.9383774,0,0,0,0,0,4.096716333,17722.38109
C:\CompassCDS\Data\2018\06\11_reprocessed\2018-06-11 12_41_48_GLC37.DATA,N.A.,0.5,22min FAMEs AKM 2018-06-11,286.0983713,440.6964717,515.4313951,542.6799533,552.1066192,552.4000426,0,553.4208147,558.5746926,521.5927164,554.8186211,521.5356808,1120.984606,524.0421005,0,0,536.2635838,519.3964035,528.0226932,0,0,0,514.1778435,519.6519572,5.298929846,502.2375118,492.1756373,503.5537222,500.6839317,0,0,4.52632824,523.7146761,0,0,500.3727619,490.0568136,486.5395545,490.4881545,494.3664538,483.266881,517.4116893,519.8274748,488.8375446,479.9836369,0,0,0,462.8293556,513.7309572,497.6745466,489.0532765,0,0,0,0,0,3.057730335,19036.23031
C:\CompassCDS\Data\2018\06\11_reprocessed\2018-06-12 13_04_21_POM-13.DATA,N.A.,4,22min FAMEs AKM 2018-06-11,4.908509829,0,0,4.702764131,0,32.0170524,0,15.80850082,649.1313892,9.690655152,62.18930028,1.427876326,1381.409944,652.8474089,8.209241169,102.9867733,66.26870533,0,461.3306515,89.13990967,170.1860611,0,363.9891427,7.752251137,0,35.92576342,14.45173496,72.06357886,11.33196182,167.2584348,63.76284594,14184.0194,28.08017259,16.07651996,0,40.37216647,17.41032038,11.02027561,0,21.99712783,739.4038312,26.36563142,20.93811249,13.31921813,0,0,41.65170552,13.16781491,539.7231281,17.4619966,12.8856971,8.894967524,21.90404416,103.1879601,0,18.93179691,98.5978445,26.87697938,21434.6702
C:\CompassCDS\Data\2018\06\11_reprocessed\2018-06-12 13_30_38_POM-46.DATA,N.A.,4,22min FAMEs AKM 2018-06-11,9.186637173,0,0,2.665615063,0,52.92208046,5.495287081,0,121.6201133,2.523777175,14.0170279,0,585.6714537,84.29781604,3.671901674,25.6483096,46.73732176,0,963.8976265,0,275.3469996,44.08548604,207.2646674,0,0,170.2868477,19.99545342,47.78747912,1.762827556,86.79560008,0,11320.47579,51.44514838,0,6.240240905,5.328786949,0,0,0,3.467360337,76.54213855,24.34481007,17.25057907,5.938952651,0,0,2.618154767,0,65.0093148,10.34612176,8.196168501,0,0,5.339084302,0,3.047222075,8.761431225,11.59594599,17288.7898
C:\CompassCDS\Data\2018\06\11_reprocessed\2018-06-12 13_56_40_POM-58.DATA,N.A.,4,22min FAMEs AKM 2018-06-11,15.60885356,0,3.420195048,5.587242046,2.114373562,38.68785983,0,29.65593087,1407.903939,9.964707004,74.89432767,0,1776.680256,1445.336917,13.0189474,178.3371041,47.77192713,2.003242175,391.4591698,139.1031175,218.5025387,0,191.9245302,3.978031644,13.89666051,342.8950524,21.73351122,42.15842092,28.50249378,185.9774072,7.262812697,8682.737719,29.08984381,113.1210075,62.17460281,107.3412791,16.70920873,29.48631634,2.076362363,54.37497663,1051.415357,14.60097281,72.2335422,76.45623351,0,1.515682521,32.15220733,34.57087314,617.882297,45.62275323,29.46511126,34.6482114,52.61080183,165.5790634,53.71244237,24.92554779,90.88661862,68.37574779,20571.88341
C:\CompassCDS\Data\2018\06\11_reprocessed\2018-06-12 14_22_45_POM-60.DATA,N.A.,4,22min FAMEs AKM 2018-06-11,8.720997681,0,0,3.072736447,0,22.03048111,0,3.384722064,251.8791924,0,19.47828488,3.906489554,681.9978115,237.5824802,4.024241417,39.62726857,42.41716529,0,1432.442373,30.04413437,83.4404243,21.22122917,84.43196055,13.54839725,0,112.9594674,4.243701775,25.2708667,3.632651269,56.0887999,8.9288704,8617.142457,57.98357619,5.595233699,0,30.63421491,5.666790905,3.823100908,0,11.34997321,284.1512925,18.01936036,12.26896404,13.76421822,0,0,9.454101061,0,256.4080783,8.65161993,5.976400332,13.13895355,7.254017682,28.46192516,0,7.858149648,19.58391487,18.21700246,13839.25095
C:\CompassCDS\Data\2018\06\11_reprocessed\2018-06-12 14_48_57_POM-62.DATA,N.A.,4,22min FAMEs AKM 2018-06-11,2.503643648,0,0,5.513389937,0,20.46827183,0,2.951050199,295.9462525,1.669496429,16.08198892,2.98472974,629.3688369,202.7966005,7.571822625,38.16063752,36.35007373,0,583.2302615,30.6162477,79.85518841,4.843115152,373.9734681,0,3.446476453,229.8515831,10.803689,91.21843278,3.963829207,274.8116879,2.724299524,7940.790849,25.64515447,7.881058105,15.92903773,0,5.630858494,3.368649144,0,8.416072351,371.258429,20.82055787,9.640270802,24.1250109,0,0,6.410777891,5.509504452,329.1321956,8.371921056,9.592792816,6.821746389,5.136113069,33.66956536,0,8.62493794,15.40942825,20.2350414,12932.56115
C:\CompassCDS\Data\2018\06\11_reprocessed\2018-06-12 15_15_03_POM-65.DATA,N.A.,4,22min FAMEs AKM 2018-06-11,8.304090555,0,2.498494111,6.31145555,3.198635299,21.99362232,0,4.401314345,397.4165395,6.423592277,25.57357523,4.140163597,724.6398238,317.4533057,28.55156256,37.8257782,44.15640074,0,928.4398955,19.58218911,292.8924405,13.88897317,127.47021,9.834862678,0,139.2169812,27.23096876,91.24640855,9.466148186,200.7737159,0,9044.538101,41.69213051,46.6507446,32.82496889,39.20752251,6.255446178,6.569887866,115.3768744,15.96229299,365.857946,21.73826171,17.39738249,43.63566032,0,0,9.386057018,7.312742853,401.704371,11.56601811,8.841807391,13.78193297,4.071624578,20.4510999,0,15.30895575,31.54332933,40.58443236,15795.14867
