file,RUNINFO,IVOL,METHODNAME,1_C04:0_AREA,1_C06:0_AREA,1_C08:0_AREA,1_C10:0_AREA,1_C11:0_AREA,1_C12:0_AREA,1_C12:1_AREA,1_C13:0_AREA,1_C14:0_AREA,1_C14:1_AREA,1_C15:0_AREA,1_C15:1_AREA,1_C16:0_AREA,1_C16:1n-7_AREA,1_C16:1n-7t_AREA,1_C16:1n-9_AREA,1_C17:0_AREA,1_C17:1_AREA,1_C18:0_AREA,1_C18:1n-12_AREA,1_C18:1n-7_AREA,1_C18:1n-7t_AREA,1_C18:1n-9c_AREA,1_C18:1n-9t_AREA,1_C18:2n-6TT_AREA,1_C18:2n-6c_AREA,1_C18:2n-6t_AREA,1_C18:3n-3_AREA,1_C18:3n-6_AREA,1_C18:4n-3 SDA_AREA,1_C18:5n-3?_AREA,1_C19:0_AREA,1_C20:0_AREA,1_C20:1n-12_AREA,1_C20:1n-15_AREA,1_C20:1n-9_AREA,1_C20:2n-6_AREA,1_C20:3n-3_AREA,1_C20:3n-6_AREA,1_C20:4n-6_AREA,1_C20:5n-3_AREA,1_C21:0_AREA,1_C22:0_AREA,1_C22:1n-9_AREA,1_C22:2n-6_AREA,1_C22:3_AREA,1_C22:4n-6_AREA,1_C22:5n-3_AREA,1_C22:5n-6?_AREA,1_C22:6n-3_AREA,1_C23:0_AREA,1_C24:0_AREA,1_C24:1n-9_AREA,1_Diatom II_AREA,1_Diatom III_AREA,1_UNK I_AREA,1_UNK II_AREA,1_ant-15:0_AREA,1_iso-15:0_AREA,1_Total FA_G_AREA
C:\CompassCDS\Data\2019\12\05_reprocessed\2019-12-05 10_50_03_Hex_LgLabJug.DATA,N.A.,0.5,2019-11-25 AKM,0.887386909,0,0,0,0,0,0,0,0,0,0,16.96433874,0,2.859663626,0,9.330642241,0,0,0,3.629399204,0,0,0,0,3.912509096,0,3.23374749,1.433705869,0,0,7.266843164,15.82698613,1.139310929,0,0,0,3.873809162,0,0,1.974730061,5.823856583,0,0,57.04647753,0,0,4.705366831,0,0,0,11.98859961,0,0,0,0,0,0,6.066141338,1.630233662,546.5273581
C:\CompassCDS\Data\2019\12\05_reprocessed\2019-12-05 11_22_18_Hex_LgLabJug.DATA,N.A.,0.5,2019-11-25 AKM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.792233553
C:\CompassCDS\Data\2019\12\05_reprocessed\2019-12-05 11_49_02_Hex_SmLabBottle.DATA,N.A.,0.5,2019-11-25 AKM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.533863531
C:\CompassCDS\Data\2019\12\05_reprocessed\2019-12-05 12_15_06_Hex_12-03-19.DATA,N.A.,0.5,2019-11-25 AKM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.833434363
C:\CompassCDS\Data\2019\12\05_reprocessed\2019-12-05 12_41_10_GLC37.DATA,N.A.,0.2,2019-11-25 AKM,129.2526967,238.7580508,292.0036073,285.8396449,276.3072321,264.3421602,0,251.7672226,243.1610291,221.2640068,234.0786579,211.4767743,460.1817714,207.6944762,0,0,221.1157207,200.5150495,215.2840855,0,0,0,197.0849112,208.1325821,2.534528913,192.7627657,187.7752273,193.2219641,192.7213085,0,0,2.210078172,204.4543687,0,0,188.1295922,184.1937656,182.9761634,184.8599184,186.970537,182.5565034,196.4331512,192.5576758,186.0600108,179.7126516,0,0,0,1.338612838,171.6042901,186.067612,179.0361085,187.7693974,0,0,0,0,0,0,7822.301949
C:\CompassCDS\Data\2019\12\05_reprocessed\2019-12-05 13_07_14_GLC37_10split.DATA,N.A.,0.5,2019-11-25 AKM,678.9729441,1291.907648,1611.074985,1637.696452,1633.757044,1626.41116,0,1632.26925,1659.091034,1495.010936,1666.457157,1490.897372,3386.237152,1509.365403,1.681350586,0,1670.759117,1509.972297,1671.043844,0,1.758671905,0,1509.893168,1605.931893,16.12321602,1474.41791,1447.25302,1481.694014,1469.043758,3.924081438,1610.06604,15.71597203,1667.056222,0,3.704906758,1517.414072,1468.665992,1462.326976,1470.003093,1473.050172,2954.751465,1625.653654,0,1555.165234,1476.936187,1580.838417,3.210209693,0,0,1410.100442,0,0,0,0,0,2.288010076,5.104311396,0,8.512098614,57505.69067
C:\CompassCDS\Data\2019\12\05_reprocessed\2019-12-05 13_33_15_GLC463.DATA,N.A.,0.2,2019-11-25 AKM,66.9663584,103.1991732,233.9879333,228.3737991,111.9779814,436.9561273,211.8635866,99.62941184,511.7751363,184.9136108,101.7228464,90.98017935,396.1435925,347.8363102,88.94101543,0,195.2447688,169.3478094,389.3851138,82.75469929,85.61711336,87.71732015,341.3859571,89.03487696,85.12186354,324.4076671,164.4803877,331.0588328,85.77269503,0,0,100.1621664,389.105113,180.0576731,162.9956486,173.9472645,163.6894156,164.6444181,82.8124555,82.47438644,159.2606055,0,193.4311103,340.7180646,83.12638817,161.7655074,81.11824295,157.0646761,0,158.9819554,0,191.7947307,88.46116833,0,0,0,0,0,0,9046.550523
C:\CompassCDS\Data\2019\12\05_reprocessed\2019-12-05 13_59_19_GLC37_10split 0.2.DATA,N.A.,0.2,2019-11-25 AKM,348.9981351,668.2698706,814.9258577,784.4213266,752.4097692,714.2450492,0,680.8405355,668.5666146,605.9534919,648.3225285,583.7946282,1278.765028,578.9948742,0,0,626.2748509,569.7257038,620.7436001,0,0,0,564.1588805,598.2018781,6.322346097,550.5121318,538.1735935,552.0994639,548.4170359,0,0,5.52778951,608.8235616,0,0,556.388097,538.2133927,536.5274987,539.2262876,540.9891125,473.7247073,590.4936717,583.4939595,561.9925229,534.5377844,0,0,0,0,511.3782677,567.2874394,606.3999674,570.7354331,0,0,0,0,0,3.815338986,22341.41087
C:\CompassCDS\Data\2019\12\05_reprocessed\2019-12-05 14_25_21_GLC455.DATA,N.A.,0.2,2019-11-25 AKM,1.936669617,6.559923038,5.292075949,12.89152138,0,10.22991586,0,1.556551357,742.076608,2.972427927,1.586281513,24.6421633,726.1336724,703.511959,2.351187762,0,694.4175097,0,688.9940806,0,1.49931503,4.508834489,729.8220317,3.898010463,1.836469061,700.4650215,1.177773487,703.2024041,688.4164116,0,4.088366179,9.048747965,3.201936352,0,6.117111014,1.453182539,676.8127507,0,686.3619092,680.5152913,669.3740772,3.7793546,0,0,5.182017004,0,674.705031,665.0699982,0,651.7115751,5.213803741,0,0,0,0,0,3.398787107,2.956409327,3.619026058,12155.91727
C:\CompassCDS\Data\2019\12\05_reprocessed\2019-12-05 14_51_24_Tseng_#1.DATA,N.A.,1,2019-11-25 AKM,3.755142129,0,3.620542041,0,0,2.567767115,3.455955095,0,3.841543453,0,3.104821161,0,54.06980037,12.63024861,6.468866179,3.184603942,9.098834358,1.986126018,24.74010806,0,17.4968227,0,60.23501215,3.289968967,0,30.78511622,0,41.80057705,0,2.277684652,0,1596.419324,6.185947685,0,0,0,0,0,0,24.22741619,41.86336617,5.279743707,3.623012496,0,0,0,0,0,0,3.553830244,0,0,0,0,0,0,0,0,2.605023329,2146.62216
