file,RUNINFO,IVOL,METHODNAME,1_C04:0_AREA,1_C06:0_AREA,1_C08:0_AREA,1_C10:0_AREA,1_C11:0_AREA,1_C12:0_AREA,1_C12:1_AREA,1_C13:0_AREA,1_C14:0_AREA,1_C14:1_AREA,1_C15:0_AREA,1_C15:1_AREA,1_C16:0_AREA,1_C16:1n-7_AREA,1_C16:1n-7t_AREA,1_C16:1n-9_AREA,1_C17:0_AREA,1_C17:1_AREA,1_C18:0_AREA,1_C18:1n-12_AREA,1_C18:1n-7_AREA,1_C18:1n-7t_AREA,1_C18:1n-9c_AREA,1_C18:1n-9t_AREA,1_C18:2n-6TT_AREA,1_C18:2n-6c_AREA,1_C18:2n-6t_AREA,1_C18:3n-3_AREA,1_C18:3n-6_AREA,1_C18:4n-3 SDA_AREA,1_C18:5n-3?_AREA,1_C19:0_AREA,1_C20:0_AREA,1_C20:1n-12_AREA,1_C20:1n-15_AREA,1_C20:1n-9_AREA,1_C20:2n-6_AREA,1_C20:3n-3_AREA,1_C20:3n-6_AREA,1_C20:4n-6_AREA,1_C20:5n-3_AREA,1_C21:0_AREA,1_C22:0_AREA,1_C22:1n-9_AREA,1_C22:2n-6_AREA,1_C22:3_AREA,1_C22:4n-6_AREA,1_C22:5n-3_AREA,1_C22:5n-6?_AREA,1_C22:6n-3_AREA,1_C23:0_AREA,1_C24:0_AREA,1_C24:1n-9_AREA,1_Diatom II_AREA,1_Diatom III_AREA,1_UNK I_AREA,1_UNK II_AREA,1_ant-15:0_AREA,1_iso-15:0_AREA,1_Total FA_G_AREA
C:\CompassCDS\Data\2018\05\30_reprocessed\2018-05-30 08_59_00_GLC455.DATA,N.A.,0.5,22min FAMEs AKM,2.437542189,0,0,0,0,0,0,2.639031355,1329.386595,0,2.430666061,0,1336.911946,1286.836669,0,0,1301.99336,0,1288.645664,0,0,0,1311.092537,0,0,1305.30907,0,1296.493472,1290.391194,2.619390386,5.354871752,8.197911672,3.649386992,0,0,0,1289.921966,0,1297.6146,1291.000019,1280.769495,0,0,0,1.676880176,0,1284.599771,1264.652289,0,1250.169022,0,0,0,0,0,0,0,0,0,20788.71109
C:\CompassCDS\Data\2018\05\30_reprocessed\2018-05-30 09_25_40_GLC455.DATA,N.A.,0.5,22min FAMEs AKM,2.457776403,0,0,0,0,0,0,3.047768787,1306.318972,0,2.160878233,0,1306.215471,1258.54025,0,0,1270.317789,0,1254.148646,0,0,0,1276.621661,0,0,1270.579089,0,1262.538621,1255.925565,0,5.051864266,7.039382499,3.082612551,0,0,0,1252.505514,0,1261.554665,1253.802735,1245.021166,0,0,0,0,0,1245.518134,1226.501648,0,1218.922488,0,0,0,0,0,0,0,0,0,20226.57143
C:\CompassCDS\Data\2018\05\30_reprocessed\2018-05-30 09_51_44_GLC37.DATA,N.A.,0.5,22min FAMEs AKM,279.8639358,430.9327382,495.3343389,514.2900188,526.1073483,537.1675799,0,551.9741153,581.6194049,502.1698234,582.1543252,504.2281485,1183.822468,511.8678137,0,0,569.016681,515.0250299,560.0674297,0,0,0,516.2451143,575.2305959,5.10783491,503.7494089,495.8844702,505.23753,499.5179909,0,0,4.772384005,571.5320187,0,0,515.4319235,503.1472018,500.2176148,502.7271952,504.8120804,491.8249663,573.5382172,584.4476139,573.3827615,507.1928436,0,0,0,0,483.3235503,584.4271592,578.027933,601.5386116,0,0,0,0,0,4.130024948,19763.44745
C:\CompassCDS\Data\2018\05\30_reprocessed\2018-05-30 10_17_50_GLC37.DATA,N.A.,0.5,22min FAMEs AKM,275.2922245,425.5601706,492.0020151,508.7118378,520.260314,527.2178825,0,533.4823195,543.753046,496.6066583,543.561462,497.4798264,1105.470352,504.8265422,0,0,535.5216646,509.5855295,532.312952,0,0,0,509.571011,534.5256535,5.858251967,498.8635299,489.6347486,500.1239237,495.0841161,0,0,5.256269805,537.1084493,0,0,508.6665351,496.9015128,495.9518467,496.2499213,499.6789949,488.1400616,536.1415981,544.5224404,527.4426607,497.7619012,0,0,0,0,477.4995964,542.441897,533.2262953,540.1604641,0,0,0,0,0,3.979968359,19056.00443
C:\CompassCDS\Data\2018\05\30_reprocessed\2018-05-30 10_43_54_POM-01.DATA,N.A.,4,22min FAMEs AKM,7.283859178,0,1.915193492,4.795884283,0,17.181325,0,9.445177136,1603.575925,4.928003772,31.1413614,9.59070651,842.8859795,276.752743,380.5630712,223.4751114,43.33116183,0,229.3998959,0,139.610232,0,373.2177424,0,0,367.3455297,18.80907346,270.5300454,55.48044359,1147.812448,0,4078.030096,9.642177728,0,0,0,6.909286057,0,557.0393415,34.30085385,464.598251,6.491219475,18.98927851,3.693598753,0,0,0,40.69172444,219.0391448,1157.795554,18.49549027,8.830942025,9.038891804,11.96475363,24.68816878,0,73.29066414,38.27497912,34.47316553,13819.16359
C:\CompassCDS\Data\2018\05\30_reprocessed\2018-05-30 11_10_05_POM-2.DATA,N.A.,4,22min FAMEs AKM,0,0,0,3.801767528,0,0,0,3.144953191,0,5.486026631,0,11.66033052,4.813425087,0,0,0,0,0,3.450795527,0,85.21095386,0,0,0,0,0,0,0,0,98.42855099,59.80721573,0,0,1.554199568,0,0,0,0,0,0,6.482774756,0,14.24811715,0,0,0,0,0,0,0,10.21487447,0,0,0,22.79800781,0,0,0,0,962.8822648
C:\CompassCDS\Data\2018\05\30_reprocessed\2018-05-30 11_36_10_POM-3.DATA,N.A.,4,22min FAMEs AKM,0,0,0,0,0,0,0,0,0,0,4.684811609,11.42105246,1.929754084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.79557591,0,0,0,0,0,0,0,0,0,3.972911249,0,11.0988179,0,0,0,0,0,0,0,6.76096768,0,0,0,20.02163101,0,0,0,0,378.4849756
C:\CompassCDS\Data\2018\05\30_reprocessed\2018-05-30 12_02_19_POM-4.DATA,N.A.,4,22min FAMEs AKM,0,0,0,0,0,0,0,0,0,3.978509728,0,10.2358467,4.588939279,3.917441756,0,0,0,0,6.115884148,0,0,0,0,0,0,0,0,0,0,0,0,18.64906181,0,0,0,0,0,0,0,0,3.478749193,0,9.5421139,0,0,0,0,0,0,0,6.218499792,0,0,0,16.55196904,0,0,0,0,263.7560774
C:\CompassCDS\Data\2018\05\30_reprocessed\2018-05-30 12_28_28_POM-5.DATA,N.A.,4,22min FAMEs AKM,0,0,0,0,0,0,0,0,0,0,2.447829353,5.930910856,2.507145456,0,0,0,0,0,3.363576357,0,6.458969849,0,0,0,0,0,0,0,0,6.227134634,26.74454941,1.6809985,0,0,0,0,0,0,0,0,0,0,6.353640344,0,0,0,0,0,0,0,4.553783664,0,0,0,10.71859727,0,0,0,0,204.1053167
C:\CompassCDS\Data\2018\05\30_reprocessed\2018-05-30 12_54_38_POM-6.DATA,N.A.,4,22min FAMEs AKM,0,0,0,0,0,0,0,0,0,2.296382316,0,6.021008535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.54175974,0,0,0,0,0,0,0,0,0,0,0,5.596432033,0,0,0,0,0,0,0,3.28719108,0,0,0,10.27504597,0,0,0,0,250.3384872
C:\CompassCDS\Data\2018\05\30_reprocessed\2018-05-30 13_20_43_POM-7.DATA,N.A.,4,22min FAMEs AKM,0,0,0,0,0,0,0,0,0,3.512670579,0,8.794347246,2.758837026,0,0,0,0,0,2.275717631,0,0,0,0,0,0,0,0,0,0,0,28.02441015,0,0,0,0,0,0,0,0,0,4.322576292,0,10.80824661,0,0,0,0,0,0,0,7.217053164,0,0,0,17.28451871,0,0,0,0,334.4014181
C:\CompassCDS\Data\2018\05\30_reprocessed\2018-05-30 13_46_53_POM-8.DATA,N.A.,4,22min FAMEs AKM,0,0,0,0,0,0,0,0,0,2.633050861,0,7.189791898,5.87763559,0,0,0,0,0,3.315473947,0,0,0,0,0,0,0,0,0,0,0,39.25898479,4.029672146,0,0,0,0,0,0,0,0,0,0,8.13673959,0,0,0,0,0,0,0,5.538526303,0,0,0,13.12013238,0,0,0,0,403.6173852
C:\CompassCDS\Data\2018\05\30_reprocessed\2018-05-30 14_13_02_POM-9.DATA,N.A.,4,22min FAMEs AKM,0,0,0,0,0,0,0,0,0,4.392584434,0,9.755183768,5.181424268,0,0,0,0,0,5.411618685,0,0,0,0,0,0,0,0,0,0,0,108.4875325,5.439647803,0,0,0,0,0,0,0,0,4.209299449,0,10.73937589,0,0,0,0,0,0,0,7.472220787,0,0,0,18.66522142,0,0,0,0,696.8004318
C:\CompassCDS\Data\2018\05\30_reprocessed\2018-05-30 14_39_12_POM-10.DATA,N.A.,4,22min FAMEs AKM,0,0,2.599019885,4.598165176,0,57.58710074,0,6.468247328,634.8912728,2.47518835,31.17758057,0,789.8665037,537.4811797,10.73848167,50.45288968,29.77208397,0,360.9481294,48.64899646,126.1276329,0,97.93380432,0,3.035973881,175.4829704,6.833474218,30.2837993,12.51766711,61.9929191,2.162289377,6313.149303,37.65783613,3.170351444,0,4.454235857,5.563088442,3.162693629,31.47376993,18.35090046,317.2274479,12.41433599,38.31679018,9.513665706,0,0,0,8.938815217,4.495918812,239.592389,27.67951634,20.38159389,7.118246017,17.36543854,57.63079938,3.457236203,9.522865126,30.24138536,35.8214309,11343.71145
C:\CompassCDS\Data\2018\05\30_reprocessed\2018-05-30 15_05_19_POM-11.DATA,N.A.,4,22min FAMEs AKM,12.15682202,0,0,2.91701,0,60.84969716,0,9.371109962,455.2720849,5.797521898,22.48164083,0,531.3200546,362.4871142,2.054115199,98.15492718,22.06656123,0,96.24254129,161.6834501,69.99064228,0,105.8108595,0,0,430.4478703,6.427529835,49.28335847,9.552332622,82.10893925,4.701934077,5339.245886,7.6933151,0,1.603511868,5.90512305,4.815510342,0,16.68808717,12.56739246,338.3477667,10.25645236,15.47575585,3.047086576,0,0,0,4.615732888,0,141.3290565,13.54283753,7.7367247,9.201249075,18.5602361,86.81982365,0,6.238995879,40.7907073,19.76314429,9252.546536
C:\CompassCDS\Data\2018\05\30_reprocessed\2018-05-30 15_31_28_POM-12.DATA,N.A.,4,22min FAMEs AKM,0,0,0,5.922384706,0,16.20851703,0,3.219104842,287.0975735,10.40889538,17.12581162,0,376.7436565,316.8963911,10.41563736,32.33575396,29.92120746,0,225.6589979,10.11374189,53.74848216,0,74.49919377,0,0,144.8275657,37.04530817,61.77165236,4.57236033,161.4437792,0,7064.602732,13.21644787,0,0,0,0,0,69.01887119,5.303569847,240.2888418,13.10015634,18.01211177,7.595046436,0,0,0,5.200114946,3.760704415,185.5696662,12.93262771,8.279438857,5.975310356,2.74176029,10.83146786,0,7.50033431,25.85662495,18.88471454,9901.12014
C:\CompassCDS\Data\2018\05\30_reprocessed\2018-05-30 16_23_48_POM-14.DATA,N.A.,4,22min FAMEs AKM,0,0,0,5.029214166,0,15.10720011,0,4.219415747,325.5960745,7.466425131,17.63421499,0,436.4490448,297.8413842,9.192448739,51.29136895,26.14148279,0,321.5095596,21.76272111,66.18000749,0,68.66875815,0,0,158.0828257,43.06038611,73.00455783,4.840550733,166.5089815,0,6394.550967,17.29130545,0,0,0,3.520552384,0,74.31387121,9.045577023,286.3222136,13.40667,11.97606108,6.597722693,0,0,0,7.693333749,0,204.955835,10.56419404,4.746131844,4.375940334,3.960801646,26.39284602,0,10.75768171,27.90070874,24.52176073,9589.863725
C:\CompassCDS\Data\2018\05\30_reprocessed\2018-05-30 16_50_00_POM-26.DATA,N.A.,4,22min FAMEs AKM,11.44816208,0,1.293571603,3.70230854,0,14.82420628,0,2.094506543,186.3455044,7.497697382,11.99706584,5.089224858,328.4672584,190.6414817,6.470369731,22.0950622,20.87372718,0,198.1804245,4.400374223,58.58035924,0,63.27146402,0,0,72.83537745,21.81771239,65.73231763,0,99.42176588,0,4701.489686,11.12475876,0,0,0,0,0,43.86053199,0,106.3765352,9.737390249,6.583448388,4.750047717,0,0,0,3.602675826,0,116.4620428,0,4.828528398,4.543696428,0,3.988130823,0,7.046189384,19.07225391,19.29930615,6572.986476
