file,RUNINFO,IVOL,METHODNAME,1_C04:0_AREA,1_C06:0_AREA,1_C08:0_AREA,1_C10:0_AREA,1_C11:0_AREA,1_C12:0_AREA,1_C12:1_AREA,1_C13:0_AREA,1_C14:0_AREA,1_C14:1_AREA,1_C15:0_AREA,1_C15:1_AREA,1_C16:0_AREA,1_C16:1n-7_AREA,1_C16:1n-7t_AREA,1_C16:1n-9_AREA,1_C17:0_AREA,1_C17:1_AREA,1_C18:0_AREA,1_C18:1n-12_AREA,1_C18:1n-7_AREA,1_C18:1n-7t_AREA,1_C18:1n-9c_AREA,1_C18:1n-9t_AREA,1_C18:2n-6TT_AREA,1_C18:2n-6c_AREA,1_C18:2n-6t_AREA,1_C18:3n-3_AREA,1_C18:3n-6_AREA,1_C18:4n-3 SDA_AREA,1_C18:5n-3?_AREA,1_C19:0_AREA,1_C20:0_AREA,1_C20:1n-12_AREA,1_C20:1n-9_AREA,1_C20:2n-6_AREA,1_C20:3n-3_AREA,1_C20:3n-6_AREA,1_C20:4n-6_AREA,1_C20:5n-3_AREA,1_C21:0_AREA,1_C22:0_AREA,1_C22:1n-9_AREA,1_C22:2n-6_AREA,1_C22:3_AREA,1_C22:4n-6_AREA,1_C22:5n-3_AREA,1_C22:6n-3_AREA,1_C23:0_AREA,1_C24:0_AREA,1_C24:1n-9_AREA,1_Diatom II_AREA,1_Diatom III_AREA,1_UNK I_AREA,1_UNK II_AREA,1_ant-15:0_AREA,1_iso-15:0_AREA,1_Total FA_G_AREA
C:\CompassCDS\Data\2018\06\26_reprocessed\2018-06-26 10_36_42_GLC455.DATA,N.A.,0.5,22min FAMEs AKM,2.880267624,0,0,0,0,0,0,2.088366653,1500.841647,0,1.613134247,0,1873.413903,1151.726255,0,0,1928.063866,0,2041.051372,0,0.86832167,0,1163.393908,0,4.31454029,1153.390038,0,1142.557624,1139.215311,12.91154105,5.069591764,14.58695085,5.108040238,1.990547865,4.961001952,1137.414492,5.777775142,1399.538712,1128.246373,1167.052717,0,49.4108301,4.934789124,6.092616089,2.429972299,1119.87035,1100.385497,1082.050795,50.25397942,0,0,0,50.76901106,3.370362782,5.081224213,0,0,22224.1905
C:\CompassCDS\Data\2018\06\26_reprocessed\2018-06-26 11_03_24_GLC455.DATA,N.A.,0.5,22min FAMEs AKM,3.462035062,0,0,0,0,0,0,2.136259089,1401.469603,0,2.726088827,0,1504.668832,1204.269862,0,0,1493.913582,0,1501.203659,0,0,0,1211.349084,0,2.971729058,1203.814541,0,1192.171158,1188.234218,0,5.301729374,8.63751241,3.862946983,0,0,1174.236877,0,1181.29368,1177.158694,1168.505928,0,0,0,0,0,1159.246791,1135.151738,1126.632861,0,0,0,0,0,0,0,0,0,20177.65083
C:\CompassCDS\Data\2018\06\26_reprocessed\2018-06-26 11_29_30_GLC37.DATA,N.A.,0.5,22min FAMEs AKM,272.9162041,421.3203834,485.5729304,509.6617788,522.1620109,545.8048947,0,597.6432052,711.731724,499.5746377,729.720412,499.6641028,1518.037346,505.3563257,0,0,692.5034747,503.7613761,652.6736209,0,0,0,503.5605151,707.5914593,5.475879859,491.6386949,484.7579034,493.4559356,487.8504613,0,0,5.776323452,664.427776,0,499.3533306,490.7028685,484.6151616,484.0586919,488.2751843,477.56567,678.0461847,702.799163,715.0592586,497.2505212,0,0,0,460.381419,713.1598598,707.0172006,791.5955895,0,0,0,0,0,4.056973146,21450.06084
C:\CompassCDS\Data\2018\06\26_reprocessed\2018-06-26 11_55_34_GLC37.DATA,N.A.,0.5,22min FAMEs AKM,263.6171825,405.2368419,467.547991,490.807105,503.072314,515.8530626,0,543.5430585,610.3773027,475.1151356,620.3828856,476.509084,1279.020359,480.7591568,0,0,593.7560127,479.4249699,568.9304683,0,0,0,477.4331995,598.8825272,4.73395232,466.4946099,457.9812926,466.9469581,463.2527684,0,0,5.169484851,574.7049101,0,471.3298826,460.4198842,458.1081105,460.4017465,462.6490078,452.1981468,582.0498896,599.362167,598.0560086,463.706335,0,0,0,436.7260324,604.5188073,595.5809457,647.6332105,0,0,0,0,0,3.955251572,19338.66182
C:\CompassCDS\Data\2018\06\26_reprocessed\2018-06-27 13_37_28_POM-88.DATA,N.A.,4,22min FAMEs AKM,11.30749188,0,3.110802421,5.051543992,0,18.05456915,3.721074117,4.16074641,253.7951233,3.953106056,16.58207652,6.864204877,519.9432605,234.7286767,5.53820225,19.95994282,16.62406978,0,223.335804,6.768339872,67.36733294,2.408414259,72.24844172,0,0,77.38779839,7.989148627,42.10080907,4.636945626,66.3046054,0,3007.403527,11.14454568,0,3.124630129,3.734128711,0,0,10.37078548,160.1171506,6.107999445,13.95309033,13.74664158,0,4.180941856,0,6.258063968,132.0168714,4.559583096,8.286953505,6.505734807,1.934768054,11.26418595,0,6.122702302,14.79785667,25.81027769,5424.04645
C:\CompassCDS\Data\2018\06\26_reprocessed\2018-06-27 14_03_41_POM-89.DATA,N.A.,4,22min FAMEs AKM,0,0,0,1.350004377,0,3.281854848,2.319144001,0,42.06067647,0,1.741132171,0,56.82947299,34.15958777,0,2.901575013,1.733545105,0,28.20828276,1.067285372,19.89135306,0,7.607160272,0,0,12.24951693,0,2.932122945,0,8.113642021,0,452.5242783,0,0,0,0,0,0,0,21.0970417,0,2.859742252,0,0,0,0,0,17.48280103,0,0,0,0,4.401789195,0,0,0,4.589091809,766.0838225
C:\CompassCDS\Data\2018\06\26_reprocessed\2018-06-27 14_29_51_POM-90.DATA,N.A.,4,22min FAMEs AKM,0,0,0,0,0,5.169471147,4.025730277,0,39.49912119,1.957513977,4.099616586,5.092186972,186.4442367,25.57868137,0,10.14608723,13.77348306,0,254.1360943,1.338859421,11.99319359,2.735309259,20.4911735,0,0,22.98799972,7.284294699,16.13730227,0,33.12459536,0,3618.758469,10.86660526,0,0,0,0,0,0,25.29903301,14.1753071,17.70781162,3.922350455,0,0,0,1.605128811,14.87333589,10.11098479,2.476758847,0,0,0,0,0,3.490384787,4.423884337,4552.00515
