"","SampleID","site_id","Date","Depth","Counts"
"36","QMIC70D","QU24","2015-02-11",30,576296.1653
"37","QMIC73D","QU24","2015-02-18",0,1058667.923
"38","QMIC74D","QU24","2015-02-18",5,974185.9739
"39","QMIC75D","QU24","2015-02-18",30,473099.6164
"40","QMIC78D","QU24","2015-02-24",0,1543651.811
"41","QMIC79D","QU24","2015-02-24",5,1572580.01
"42","QMIC80D","QU24","2015-02-24",30,559918.6254
"43","QMIC83D","QU24","2015-03-04",0,697472.8043
"44","QMIC84D","QU24","2015-03-04",5,NA
"45","QMIC85D","QU24","2015-03-04",30,577523.0821
"46","QMIC88D","QU24","2015-03-13",0,456592.3729
"47","QMIC89D","QU24","2015-03-13",5,427985.5869
"48","QMIC90D","QU24","2015-03-13",30,322588.0539
"49","QMIC93D","QU39","2015-03-18",0,171013.2277
"50","QMIC94D","QU39","2015-03-18",5,189167.5271
"51","QMIC95D","QU39","2015-03-18",30,443226.1168
"52","QMIC98D","QU39","2015-03-24",0,406433.5518
"53","QMIC99D","QU39","2015-03-24",5,404965.6677
"54","QMIC100D","QU39","2015-03-24",30,766629.3
"55","QMIC104D","QU39","2015-03-31",5,493681.9841
"56","QMIC105D","QU39","2015-03-31",30,677340.5715
"57","QMIC108D","QU39","2015-04-06",0,1306345.268
"58","QMIC109D","QU39","2015-04-06",5,1421787.136
"59","QMIC110D","QU39","2015-04-06",30,821321.3404
"60","QMIC113D","QU39","2015-04-14",0,1946556.849
"61","QMIC114D","QU39","2015-04-14",5,2182707.561
"62","QMIC115D","QU39","2015-04-14",30,1445700.479
"63","QMIC118D","QU39","2015-04-22",0,970240.4677
"64","QMIC119D","QU39","2015-04-22",5,920984.66
"65","QMIC120D","QU39","2015-04-22",30,480094.5103
"66","QMIC123D","QU39","2015-05-01",0,2154392.08
"67","QMIC124D","QU39","2015-05-01",5,1904987.63
"68","QMIC125D","QU39","2015-05-01",30,1120699.711
"69","QMIC128D","QU39","2015-05-05",0,1017202.371
"70","QMIC129D","QU39","2015-05-05",5,1161245.057
"71","QMIC130D","QU39","2015-05-05",30,769701.9976
"72","QMIC133D","QU39","2015-05-13",0,1434903.326
"73","QMIC134D","QU39","2015-05-13",5,1657166.001
"74","QMIC135D","QU39","2015-05-13",30,687924.8288
"75","QMIC138D","QU39","2015-05-21",0,1726399.226
"76","QMIC139D","QU39","2015-05-21",5,1999430.413
"77","QMIC140D","QU39","2015-05-21",30,912186.9153
"78","QMIC143D","QU39","2015-05-26",0,1766478.355
"79","QMIC144D","QU39","2015-05-26",5,2038808.698
"80","QMIC145D","QU39","2015-05-26",30,704561.2173
"81","QMIC148D","QU39","2015-06-03",0,1895581.468
"82","QMIC149D","QU39","2015-06-03",5,1725883.875
"83","QMIC150D","QU39","2015-06-03",30,801059.2864
"84","QMIC153D","QU39","2015-06-15",0,1813888.613
"85","QMIC154D","QU39","2015-06-15",5,1714126.401
"86","QMIC155D","QU39","2015-06-15",30,668846.2629
"87","QMIC158D","QU39","2015-06-24",0,1240414.487
"88","QMIC159D","QU39","2015-06-24",5,1243353.885
"89","QMIC160D","QU39","2015-06-24",30,861092.5622
"90","QMIC163D","QU39","2015-06-30",0,2239608.786
"91","QMIC164D","QU39","2015-06-30",5,2722363.721
"92","QMIC165D","QU39","2015-06-30",30,733387.0178
"93","QMIC168D","QU39","2015-07-07",0,2209997.674
"94","QMIC169D","QU39","2015-07-07",5,1798543.56
"95","QMIC170D","QU39","2015-07-07",30,782217.6907
"96","QMIC173D","QU39","2015-07-22",0,3774901.351
"97","QMIC174D","QU39","2015-07-22",5,3274131.947
"98","QMIC175D","QU39","2015-07-22",30,829574.8887
"99","QMIC178D","QU39","2015-07-28",0,5088523.638
"100","QMIC179D","QU39","2015-07-28",5,5057570.666
"101","QMIC180D","QU39","2015-07-28",30,899432.5697
"102","QMIC183D","QU39","2015-08-05",0,2194816.797
"103","QMIC184D","QU39","2015-08-05",5,1894806.774
"104","QMIC185D","QU39","2015-08-05",30,688055.9022
"105","QMIC188D","QU39","2015-08-12",0,2035358.821
"106","QMIC189D","QU39","2015-08-12",5,1860167.726
"107","QMIC190D","QU39","2015-08-12",30,725929.46
"108","QMIC194D","QU39","2015-08-20",5,2259515.456
"109","QMIC195D","QU39","2015-08-20",30,739215.4296
"110","QMIC198D","QU39","2015-08-25",0,1314534.358
"111","QMIC199D","QU39","2015-08-25",5,1941589.97
"112","QMIC200D","QU39","2015-08-25",30,NA
"113","QMIC203D","QU39","2015-09-02",0,2779455.983
"114","QMIC204D","QU39","2015-09-02",5,2341807.238
"115","QMIC205D","QU39","2015-09-02",30,1997466.77
"116","QMIC208D","QU39","2015-09-09",0,2721223.864
"117","QMIC209D","QU39","2015-09-09",5,2812722.508
"118","QMIC210D","QU39","2015-09-09",30,914124.711
"119","QMIC213D","QU39","2015-09-15",0,1655826.72
"120","QMIC214D","QU39","2015-09-15",5,1650684.746
"121","QMIC215D","QU39","2015-09-15",30,697723.7224
"122","QMIC218D","QU39","2015-09-22",0,2097768.157
"123","QMIC219D","QU39","2015-09-22",5,2036780.965
"124","QMIC220D","QU39","2015-09-22",30,1010861.721
"125","QMIC223D","QU39","2015-09-28",0,1911724.134
"126","QMIC224D","QU39","2015-09-28",5,1674798.378
"127","QMIC225D","QU39","2015-09-28",30,779080.7522
"128","QMIC228D","QU39","2015-10-06",0,2981007.523
"129","QMIC229D","QU39","2015-10-06",5,2339768.653
"130","QMIC230D","QU39","2015-10-06",30,730613.226
"131","QMIC238D","QU39","2015-10-14",0,945883.5809
"132","QMIC239D","QU39","2015-10-14",5,1067957.94
"133","QMIC240D","QU39","2015-10-14",30,675293.3214
"134","QMIC243D","QU39","2015-10-20",0,1200065.995
"135","QMIC244D","QU39","2015-10-20",5,1291014.36
"136","QMIC245D","QU39","2015-10-20",30,536331.0763
"137","QMIC248D","QU39","2015-11-03",0,504681.1108
"138","QMIC249D","QU39","2015-11-03",5,669964.1974
"139","QMIC258D","QU39","2015-11-03",30,686585.7619
"140","QMIC253D","QU39","2015-11-10",0,1018706.657
"141","QMIC262D","QU39","2015-11-10",5,989623.7436
"142","QMIC263D","QU39","2015-11-10",30,584032.7343
"143","QMIC250D","QU39","2015-11-18",0,670194.5504
"144","QMIC267D","QU39","2015-11-18",5,751782.3787
"145","QMIC252D","QU39","2015-11-18",30,654173.64
"146","QMIC255D","QU39","2015-11-25",0,647879.5675
"147","QMIC256D","QU39","2015-11-25",5,613984.4065
"148","QMIC257D","QU39","2015-11-25",30,472955.8408
"149","QMIC268D","QU39","2015-12-11",0,619251.3564
"150","QMIC261D","QU39","2015-12-11",5,633621.127
"151","QMIC270D","QU39","2015-12-11",30,543845.1784
"152","QMIC273D","QU39","2015-12-16",0,657186.3561
"153","QMIC274D","QU39","2015-12-16",5,598117.0089
"154","QMIC275D","QU39","2015-12-16",30,493410.3467
"155","QMIC278D","QU39","2016-01-05",0,541204.6754
"156","QMIC279D","QU39","2016-01-05",5,605582.2678
"157","QMIC280D","QU39","2016-01-05",30,534626.5204
"158","QMIC283D","QU39","2016-01-13",0,698907.2782
"159","QMIC284D","QU39","2016-01-13",5,640664.318
"160","QMIC285D","QU39","2016-01-13",30,545307.6839
"161","QMIC288D","QU39","2016-01-19",0,597983.1664
"162","QMIC289D","QU39","2016-01-19",5,652811.9807
"163","QMIC290D","QU39","2016-01-19",30,630227.0812
"164","QMIC293D","QU39","2016-01-28",0,586020.7019
"165","QMIC294D","QU39","2016-01-28",5,529922.6263
"166","QMIC295D","QU39","2016-01-28",30,462317.68
"167","QMIC298D","QU39","2016-02-02",0,673230.6804
"168","QMIC299D","QU39","2016-02-02",5,661247.7745
"169","QMIC300D","QU39","2016-02-02",30,700035.0703
"170","QMIC303D","QU39","2016-02-09",0,747735.5399
"171","QMIC304D","QU39","2016-02-09",5,682622.49
"172","QMIC305D","QU39","2016-02-09",30,591000.6551
"173","QMIC308D","QU39","2016-02-16",0,599377.5509
"174","QMIC309D","QU39","2016-02-16",5,565611.2429
"175","QMIC310D","QU39","2016-02-16",30,590695.644
"176","QMIC313D","QU39","2016-02-23",0,581435.0919
"177","QMIC314D","QU39","2016-02-23",5,573594.9821
"178","QMIC315D","QU39","2016-02-23",30,398313.4623
"179","QMIC318D","QU39","2016-03-15",0,527044.0662
"180","QMIC319D","QU39","2016-03-15",5,511940.1003
"181","QMIC320D","QU39","2016-03-15",30,480983.2226
"182","QMIC323D","QU39","2016-03-22",0,842569.9879
"183","QMIC324D","QU39","2016-03-22",5,853732.3903
"184","QMIC325D","QU39","2016-03-22",30,367572.9078
"185","QMIC328D","QU39","2016-03-29",0,671416.9388
"186","QMIC329D","QU39","2016-03-29",5,774826.5886
"187","QMIC330D","QU39","2016-03-29",30,559838.7702
"188","QMIC333D","QU39","2016-04-08",0,417750.6123
"189","QMIC334D","QU39","2016-04-08",5,371036.9201
"190","QMIC335D","QU39","2016-04-08",30,302975.8315
"191","QMIC338D","QU39","2016-04-14",0,539767.7861
"192","QMIC339D","QU39","2016-04-14",5,617019.7693
"193","QMIC340D","QU39","2016-04-14",30,523979.6233
"194","QMIC343D","QU39","2016-04-28",0,1587393.246
"195","QMIC344D","QU39","2016-04-28",5,1430500.349
"196","QMIC345D","QU39","2016-04-28",30,623981.2411
"197","QMIC348D","QU39","2016-05-09",0,1011830.048
"198","QMIC349D","QU39","2016-05-09",5,1036074.855
"199","QMIC350D","QU39","2016-05-09",30,753026.7915
"200","QMIC353D","QU39","2016-05-19",0,652546.0238
"201","QMIC354D","QU39","2016-05-19",5,631703.6418
"202","QMIC355D","QU39","2016-05-19",30,307093.9896
"203","QMIC1755","QU39","2016-05-30",0,1645247.766
"204","QMIC1756","QU39","2016-05-30",5,1945509.165
"205","QMIC1757","QU39","2016-05-30",30,806970.7313
"206","QMIC1765","QU39","2016-06-09",0,3337873.614
"207","QMIC1766","QU39","2016-06-09",5,2836335.262
"208","QMIC1767","QU39","2016-06-09",30,736936.7903
"209","QMIC1775","QU39","2016-06-20",0,1693743.447
"210","QMIC1776","QU39","2016-06-20",5,1643080.059
"211","QMIC1777","QU39","2016-06-20",30,753649.6325
"212","QMIC1785","QU39","2016-06-30",0,1805307.728
"213","QMIC1786","QU39","2016-06-30",5,1828134.831
"214","QMIC1787","QU39","2016-06-30",30,660876.2746
"215","QMIC1795","QU39","2016-07-11",0,3406019.735
"216","QMIC1796","QU39","2016-07-11",5,3300804.935
"217","QMIC1797","QU39","2016-07-11",30,1169470.104
"218","QMIC1805","QU39","2016-07-21",0,3314926.822
"219","QMIC1806","QU39","2016-07-21",5,3328485.283
"220","QMIC1807","QU39","2016-07-21",30,906075.7778
"221","QMIC1815","QU39","2016-08-01",0,1601768.295
"222","QMIC1816","QU39","2016-08-01",5,1940476.687
"223","QMIC1817","QU39","2016-08-01",30,978952.2269
"224","QMIC1825","QU39","2016-08-11",0,1845724.644
"225","QMIC1826","QU39","2016-08-11",5,1826672.808
"226","QMIC1827","QU39","2016-08-11",30,867785.673
"227","QMIC1835","QU39","2016-08-22",0,1405291.146
"228","QMIC1849","QU39","2016-08-22",5,1184390.484
"229","QMIC1837","QU39","2016-08-22",30,763734.6165
"230","QMIC1845","QU39","2016-09-01",0,1921667.439
"231","QMIC1846","QU39","2016-09-01",5,2002583.877
"232","QMIC1847","QU39","2016-09-01",30,1082544.63
"233","QMIC1865","QU39","2016-09-11",0,4732717.277
"234","QMIC1866","QU39","2016-09-11",5,4812333.484
"235","QMIC1867","QU39","2016-09-11",30,885082.241
"236","QMIC1855","QU39","2016-09-22",0,4018369.498
"237","QMIC1856","QU39","2016-09-22",5,4017294.776
"238","QMIC1857","QU39","2016-09-22",30,1171366.946
"239","QMIC1875","QU39","2016-10-02",0,3851837.124
"240","QMIC1876","QU39","2016-10-02",5,3799454.01
"241","QMIC1877","QU39","2016-10-02",30,842584.8614
"242","QMIC1899","QU39","2016-10-12",0,2613004.672
"243","QMIC1900","QU39","2016-10-12",5,3157920.584
"244","QMIC1901","QU39","2016-10-12",30,832420.7342
"245","QMIC1886","QU39","2016-10-22",5,1360417.017
"246","QMIC1887","QU39","2016-10-22",30,1165901.782
"247","QMIC1905","QU39","2016-11-09",0,681811.6324
"248","QMIC1906","QU39","2016-11-09",5,703128.6367
"249","QMIC1907","QU39","2016-11-09",30,724276.121
"250","QMIC1915","QU39","2016-11-15",0,687917.9564
"251","QMIC1916","QU39","2016-11-15",5,731292.2942
"252","QMIC1917","QU39","2016-11-15",30,745932.2553
"253","QMIC1925","QU39","2016-11-26",0,780046.7533
"254","QMIC1926","QU39","2016-11-26",5,732692.6063
"255","QMIC1927","QU39","2016-11-26",30,679059.2021
"256","QMIC1935","QU39","2016-12-03",0,648564.0233
"257","QMIC1936","QU39","2016-12-03",5,627562.2311
"258","QMIC1937","QU39","2016-12-03",30,610857.2612
"259","QMIC1943","QU39","2016-12-15",0,733372.8952
"260","QMIC1945","QU39","2016-12-15",5,652586.8904
"261","QMIC1947","QU39","2016-12-15",30,560861.1688
"262","QMIC1955","QU39","2017-01-08",0,526820.0299
"263","QMIC1956","QU39","2017-01-08",5,486833.0798
"264","QMIC1957","QU39","2017-01-08",30,522610.5308
"265","QMIC1965","QU39","2017-01-15",0,540164.4235
"266","QMIC1966","QU39","2017-01-15",5,557435.7277
"267","QMIC1967","QU39","2017-01-15",30,474388.9104
"268","QMIC1975","QU39","2017-01-26",0,637148.7439
"269","QMIC1976","QU39","2017-01-26",5,679387.981
"270","QMIC1977","QU39","2017-01-26",30,535578.6067
"271","QMIC1985","QU39","2017-02-17",0,553610.7253
"272","QMIC1986","QU39","2017-02-17",5,514647.0778
"273","QMIC1987","QU39","2017-02-17",30,468849.3715
"274","QMIC1995","QU39","2017-02-25",0,797467.6429
"275","QMIC1996","QU39","2017-02-25",5,675754.8949
"276","QMIC1997","QU39","2017-02-25",30,502271.782
"277","QMIC2005","QU39","2017-03-15",0,478153.8982
"278","QMIC2006","QU39","2017-03-15",5,446567.5082
"279","QMIC2007","QU39","2017-03-15",30,748006.9289
"280","QMIC2015","QU39","2017-03-30",0,612155.604
"281","QMIC2016","QU39","2017-03-30",5,594881.5882
"282","QMIC2017","QU39","2017-03-30",30,460104.7836
"283","QMIC2025","QU39","2017-04-07",0,949910.3761
"284","QMIC2026","QU39","2017-04-07",5,930530.3085
"285","QMIC2027","QU39","2017-04-07",30,960243.9225
"286","QMIC2035","QU39","2017-04-11",0,1043758.119
"287","QMIC2036","QU39","2017-04-11",5,959500.9911
"288","QMIC2037","QU39","2017-04-11",30,997789.3129
"289","QMIC2045","QU39","2017-04-20",0,713101.1484
"290","QMIC2046","QU39","2017-04-20",5,638711.85
"291","QMIC2047","QU39","2017-04-20",30,761333.4061
"292","QMIC2055","QU39","2017-04-24",0,1199049.164
"293","QMIC2056","QU39","2017-04-24",5,1084788.272
"294","QMIC2057","QU39","2017-04-24",30,574078.1776
"295","QMIC2065","QU39","2017-05-02",0,834482.6596
"296","QMIC2066","QU39","2017-05-02",5,NA
"297","QMIC2067","QU39","2017-05-02",30,NA
"298","QMIC2075","QU39","2017-05-08",0,1172818.469
"299","QMIC2076","QU39","2017-05-08",5,1274457.085
"300","QMIC2077","QU39","2017-05-08",30,814122.0552
"301","QMIC2085","QU39","2017-05-17",0,1890351.357
"302","QMIC2086","QU39","2017-05-17",5,1611082.629
"303","QMIC2087","QU39","2017-05-17",30,1268040.917
"304","QMIC2095","QU39","2017-05-29",0,3119512.955
"305","QMIC2096","QU39","2017-05-29",5,2556932.029
"306","QMIC2097","QU39","2017-05-29",30,631180.301
"307","QMIC2105","QU39","2017-06-05",0,1569984.601
"308","QMIC2106","QU39","2017-06-05",5,1643044.643
"309","QMIC2102","QU39","2017-06-05",30,555436.528
"310","QMIC2115","QU39","2017-06-12",0,1218940.581
"311","QMIC2116","QU39","2017-06-12",5,1226141.422
"312","QMIC2117","QU39","2017-06-12",30,679797.8671
"313","QMIC2125","QU39","2017-06-19",0,1092634.189
"314","QMIC2126","QU39","2017-06-19",5,1236005.974
"315","QMIC2127","QU39","2017-06-19",30,1047286.136
"316","QMIC2135","QU39","2017-06-29",0,2265264.347
"317","QMIC2136","QU39","2017-06-29",5,2149413.695
"318","QMIC2137","QU39","2017-06-29",30,870656.3057
"319","QMIC2145","QU39","2017-07-07",0,2751994.923
"320","QMIC2146","QU39","2017-07-07",5,3103784.318
"321","QMIC2147","QU39","2017-07-07",30,958730.2905
"322","QMIC2155","QU39","2017-07-11",0,1769763.282
"323","QMIC2156","QU39","2017-07-11",5,1752082.2
"324","QMIC2157","QU39","2017-07-11",30,765006.4817
"325","QMIC2160","QU39","2017-07-12",0,NA
"326","QMIC2161","QU39","2017-07-12",0,NA
"327","QMIC2163","QU39","2017-07-12",5,NA
"328","QMIC2164","QU39","2017-07-12",5,NA
"329","QMIC2166","QU39","2017-07-12",30,NA
"330","QMIC2167","QU39","2017-07-12",30,NA
"331","QMIC2174","QU39","2017-07-17",0,2734250.778
"332","QMIC2175","QU39","2017-07-17",5,2850042.499
"333","QMIC2176","QU39","2017-07-17",30,812554.4148
"334","QMIC2184","QU39","2017-07-24",0,3260262.168
"335","QMIC2185","QU39","2017-07-24",5,3195858.865
"336","QMIC2186","QU39","2017-07-24",30,820250.4044
"337","QMIC2193","QU39","2017-08-04",0,4023822.114
"338","QMIC2194","QU39","2017-08-04",5,3803158.695
"339","QMIC2195","QU39","2017-08-04",30,975498.6537
"340","QMIC2203","QU39","2017-08-08",0,2448341.598
"341","QMIC2204","QU39","2017-08-08",5,2667371.481
"342","QMIC2205","QU39","2017-08-08",30,750000
"343","QMIC2213","QU39","2017-08-15",0,3276148.836
"344","QMIC2214","QU39","2017-08-15",5,3279183.524
"345","QMIC2215","QU39","2017-08-15",30,707454.307
"346","QMIC2223","QU39","2017-08-21",0,3319855.394
"347","QMIC2224","QU39","2017-08-21",5,3835282.781
"348","QMIC2225","QU39","2017-08-21",30,792079.6172
"349","QMIC2233","QU39","2017-08-29",0,3297592.578
"350","QMIC2234","QU39","2017-08-29",5,3453601.71
"351","QMIC2235","QU39","2017-08-29",30,824148.1652
"352","QMIC2243","QU39","2017-09-05",0,626968.8393
"353","QMIC2244","QU39","2017-09-05",5,699646.2194
"354","QMIC2245","QU39","2017-09-05",30,728104.7148
"355","QMIC2253","QU39","2017-09-12",0,3253388.407
"356","QMIC2254","QU39","2017-09-12",5,2855981.779
"357","QMIC2255","QU39","2017-09-12",30,815816.2801
"358","QMIC2263","QU39","2017-09-18",0,2933552.064
"359","QMIC2264","QU39","2017-09-18",5,2898004.581
"360","QMIC2265","QU39","2017-09-18",30,788329.0634
"361","QMIC2274","QU39","2017-09-26",0,1702686.523
"362","QMIC2275","QU39","2017-09-26",5,1649670.219
"363","QMIC2276","QU39","2017-09-26",30,666405.3999
"364","QMIC2284","QU39","2017-10-03",0,950788.35
"365","QMIC2285","QU39","2017-10-03",5,1121709.779
"366","QMIC2286","QU39","2017-10-03",30,561123.5064
"367","QMIC2294","QU39","2017-10-11",0,983017.7507
"368","QMIC2295","QU39","2017-10-11",5,1006235.779
"369","QMIC2296","QU39","2017-10-11",30,959609.4354
"370","QMIC2315","QU39","2017-10-20",0,972856.0177
"371","QMIC2316","QU39","2017-10-20",0,972856.0177
"372","QMIC2310","QU39","2017-10-20",0,972856.0177
"373","QMIC2317","QU39","2017-10-20",5,947984.0665
"374","QMIC2318","QU39","2017-10-20",5,947984.0665
"375","QMIC2311","QU39","2017-10-20",5,947984.0665
"376","QMIC2312","QU39","2017-10-20",30,984314.0585
"377","QMIC2319","QU39","2017-10-20",30,984314.0585
"378","QMIC2320","QU39","2017-10-20",30,984314.0585
"379","QMIC2326","QU39","2017-10-24",0,957162.9348
"380","QMIC2327","QU39","2017-10-24",5,962511.6865
"381","QMIC2328","QU39","2017-10-24",30,847745.4102
"382","QMIC2336","QU39","2017-10-31",0,965636.825
"383","QMIC2337","QU39","2017-10-31",5,1173453.63
"384","QMIC2338","QU39","2017-10-31",30,631326.3638
"385","QMIC2346","QU39","2017-11-08",0,1049272.541
"386","QMIC2347","QU39","2017-11-08",5,1062440.456
"387","QMIC2348","QU39","2017-11-08",30,664231.7405
"388","QMIC2356","QU39","2017-11-16",0,652678.9799
"389","QMIC2357","QU39","2017-11-16",5,542916.3336
"390","QMIC2358","QU39","2017-11-16",30,595112.227
"391","QMIC2366","QU39","2017-11-20",0,510824.0501
"392","QMIC2367","QU39","2017-11-20",5,516441.3859
"393","QMIC2368","QU39","2017-11-20",30,589055.1542
"394","QMIC2372","QU39","2017-11-27",0,NA
"395","QMIC2374","QU39","2017-11-27",5,629180.1591
"396","QMIC2376","QU39","2017-11-27",30,570255.2407
"397","QMIC2386","QU39","2017-12-06",0,NA
"398","QMIC2387","QU39","2017-12-06",5,593708.5022
"399","QMIC2388","QU39","2017-12-06",30,535085.9188
"400","QMIC2396","QU39","2017-12-11",0,679885.1089
"401","QMIC2397","QU39","2017-12-11",5,661434.6395
"402","QMIC2398","QU39","2017-12-11",30,466695.0372
"403","QMIC2406","QU39","2018-01-03",0,625375.2831
"404","QMIC2407","QU39","2018-01-03",5,538085.7894
"405","QMIC2408","QU39","2018-01-03",30,481376.7458
"406","QMIC2416","QU39","2018-01-09",0,628681.0642
"407","QMIC2417","QU39","2018-01-09",5,587238.357
"408","QMIC2436","QU39","2018-01-09",30,509888.7989
"409","QMIC2439","QU39","2018-01-22",0,584945.4527
"410","QMIC2440","QU39","2018-01-22",5,520310.9883
"411","QMIC2446","QU39","2018-01-22",30,508044.694
"412","QMIC2418","QU39","2018-01-31",0,571576.5639
"413","QMIC2419","QU39","2018-01-31",5,544832.8542
"414","QMIC2420","QU39","2018-01-31",30,513069.6974
"415","QMIC2428","QU39","2018-02-06",0,827473.7373
"416","QMIC2429","QU39","2018-02-06",5,475865.2345
"417","QMIC2430","QU39","2018-02-06",30,NA
"418","QMIC2456","QU39","2018-02-13",0,1609025.841
"419","QMIC2457","QU39","2018-02-13",5,674416.2856
"420","QMIC2458","QU39","2018-02-13",30,424873.3468
"421","QMIC2466","QU39","2018-02-19",0,775067.4479
"422","QMIC2467","QU39","2018-02-19",5,461464.9017
"423","QMIC2468","QU39","2018-02-19",30,473516.231
"424","QMIC2476","QU39","2018-02-27",0,990888.6317
"425","QMIC2477","QU39","2018-02-27",5,967666.1881
"426","QMIC2478","QU39","2018-02-27",30,782978.4792
"427","QMIC2486","QU39","2018-03-06",0,745002.6298
"428","QMIC2487","QU39","2018-03-06",5,718833.8609
"429","QMIC2488","QU39","2018-03-06",30,561224.6062
"430","QMIC2496","QU39","2018-03-13",0,1443072.433
"431","QMIC2497","QU39","2018-03-13",5,1386160.768
"432","QMIC2498","QU39","2018-03-13",30,546190.2908
"433","QMIC2506","QU39","2018-03-20",0,2109475.467
"434","QMIC2507","QU39","2018-03-20",5,2015043.91
"435","QMIC2508","QU39","2018-03-20",30,566118.8906
"436","QMIC2516","QU39","2018-03-27",0,437792.4174
"437","QMIC2517","QU39","2018-03-27",5,389376.1704
"438","QMIC2518","QU39","2018-03-27",30,500406.6012
"439","QMIC2526","QU39","2018-04-12",0,848122.8438
"440","QMIC2527","QU39","2018-04-12",5,829341.9809
"441","QMIC2528","QU39","2018-04-12",30,755379.2503
"442","QMIC2533","QU39","2018-04-17",0,1223800.159
"443","QMIC2534","QU39","2018-04-17",5,1028546.353
"444","QMIC2535","QU39","2018-04-17",30,683171.4837
"445","QMIC2543","QU39","2018-04-24",0,2410322.431
"446","QMIC2544","QU39","2018-04-24",5,2352545.493
"447","QMIC2545","QU39","2018-04-24",30,703279.6785
"448","QMIC2553","QU39","2018-05-02",0,4114009.276
"449","QMIC2554","QU39","2018-05-02",5,2781325.269
"450","QMIC2555","QU39","2018-05-02",30,958495.5958
"451","QMIC2563","QU39","2018-05-08",0,1787501.456
"452","QMIC2564","QU39","2018-05-08",5,1878320.027
"453","QMIC2565","QU39","2018-05-08",30,1023012.99
"454","QMIC2583","QU39","2018-05-15",0,2089634.291
"455","QMIC2584","QU39","2018-05-15",5,1683767.958
"456","QMIC2585","QU39","2018-05-15",30,632820.8369
"457","QMIC2593","QU39","2018-05-22",0,776392.3807
"458","QMIC2594","QU39","2018-05-22",5,1349649.114
"459","QMIC2595","QU39","2018-05-22",30,1115183.25
"460","QMIC2603","QU39","2018-05-29",0,2727324.325
"461","QMIC2604","QU39","2018-05-29",5,2148934.723
"462","QMIC2605","QU39","2018-05-29",30,702332.0109
"463","QMIC2609","QU39","2018-06-05",0,3487022.5
"464","QMIC2610","QU39","2018-06-05",5,3060425.811
"465","QMIC2611","QU39","2018-06-05",30,NA
"466","QMIC2619","QU39","2018-06-11",0,3745381.462
"467","QMIC2620","QU39","2018-06-11",5,4243407.768
"468","QMIC2621","QU39","2018-06-11",30,834281.4949
"469","QMIC2639","QU39","2018-06-18",0,3048627.413
"470","QMIC2640","QU39","2018-06-18",5,1501287.782
"471","QMIC2641","QU39","2018-06-18",30,462623.2055
"472","QMIC2649","QU39","2018-06-26",0,5466034.012
"473","QMIC2650","QU39","2018-06-26",5,4905053.789
"474","QMIC2651","QU39","2018-06-26",30,1347153.893
"475","QMIC2659","QU39","2018-07-11",0,6388332.324
"476","QMIC2660","QU39","2018-07-11",5,5885879.607
"477","QMIC2661","QU39","2018-07-11",30,799169.8101
"478","QMIC2664","QU39","2018-07-16",0,NA
"479","QMIC2665","QU39","2018-07-16",5,NA
"480","QMIC2666","QU39","2018-07-16",30,NA
"481","QMIC2674","QU39","2018-07-23",0,4287184.499
"482","QMIC2675","QU39","2018-07-23",5,2198778.114
"483","QMIC2676","QU39","2018-07-23",30,487694.1191
"484","QMIC2694","QU39","2018-07-31",0,1337140.85
