"","SampleID","site_id","Date","Depth","Counts"
"1","QMIC13D","QU24","2014-11-07",0,679951.0361
"2","QMIC14D","QU24","2014-11-07",5,662557.9249
"3","QMIC15D","QU24","2014-11-07",30,618080.1873
"4","QMIC18D","QU24","2014-11-13",0,695393.3227
"5","QMIC19D","QU24","2014-11-13",5,752428.4647
"6","QMIC20D","QU24","2014-11-13",30,464706.9713
"7","QMIC23D","QU24","2014-11-25",0,628559.1064
"8","QMIC24D","QU24","2014-11-25",5,753364.8786
"9","QMIC25D","QU24","2014-11-25",30,691670.5596
"10","QMIC28D","QU24","2014-12-02",0,627486.6609
"11","QMIC29D","QU24","2014-12-02",5,652034.1173
"12","QMIC30D","QU24","2014-12-02",30,457426.6997
"13","QMIC33D","QU24","2014-12-11",0,667112.6557
"14","QMIC34D","QU24","2014-12-11",5,698609.9733
"15","QMIC35D","QU24","2014-12-11",30,651499.2158
"16","QMIC38D","QU24","2014-12-16",0,861345.2733
"17","QMIC39D","QU24","2014-12-16",5,862462.7871
"18","QMIC40D","QU24","2014-12-16",30,572462.4111
"19","QMIC43D","QU24","2015-01-06",0,670908.4049
"20","QMIC44D","QU24","2015-01-06",5,716592.9075
"21","QMIC45D","QU24","2015-01-06",30,497632.2759
"22","QMIC48D","QU24","2015-01-13",0,676564.2005
"23","QMIC49D","QU24","2015-01-13",5,666735.6001
"24","QMIC50D","QU24","2015-01-13",30,477786.011
"25","QMIC53D","QU24","2015-01-21",0,683565.4219
"26","QMIC54D","QU24","2015-01-21",5,723772.2139
"27","QMIC55D","QU24","2015-01-21",30,473195.0678
"28","QMIC58D","QU24","2015-01-28",0,645378.4866
"29","QMIC59D","QU24","2015-01-28",5,636416.8248
"30","QMIC60D","QU24","2015-01-28",30,537385.221
"31","QMIC63D","QU24","2015-02-03",0,817839.8807
"32","QMIC64D","QU24","2015-02-03",5,798269.8417
"33","QMIC65D","QU24","2015-02-03",30,510501.8087
"34","QMIC68D","QU24","2015-02-11",0,773272.5411
"35","QMIC69D","QU24","2015-02-11",5,644062.1276
